File.......:  nimh1-2000-2 - AUG,07.2023

System.....:  NiMH 1 2000mAh
Potential..:  1.048V
Current....:  -2.0041A
Temperature:  -0.7 +-0.0 C
Time.......:  15:40:12 - 15:46:16
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   39
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      3.0000e+04     2.3708e-01        67.56       0.999           0.0
   2      2.2531e+04     1.8777e-01        63.34       0.999           2.0
   3      1.6922e+04     1.5091e-01        58.14       1.000           3.1
   4      1.2709e+04     1.2395e-01        51.87       0.999           4.2
   5      9.5446e+03     1.0470e-01        44.83       1.000           5.2
   6      7.1684e+03     9.1717e-02        37.42       1.000           6.3
   7      5.3837e+03     8.3288e-02        30.27       0.999           7.3
   8      4.0433e+03     7.8084e-02        23.82       1.000           8.4
   9      3.0367e+03     7.4969e-02        18.39       1.000           9.6
  10      2.2806e+03     7.3185e-02        13.96       1.000          10.8
  11      1.7128e+03     7.2198e-02        10.49       1.000          11.9
  12      1.2864e+03     7.1690e-02         7.81       1.000          12.9
  13      9.6613e+02     7.1447e-02         5.80       1.000          14.0
  14      7.2560e+02     7.1352e-02         4.25       1.000          15.0
  15      5.4495e+02     7.1338e-02         3.06       1.000          16.1
  16      4.0928e+02     7.1349e-02         1.88       1.000          17.9
  17      3.0738e+02     7.1467e-02         1.28       1.000          19.9
  18      2.3085e+02     7.1498e-02         0.74       1.000          21.5
  19      1.7338e+02     7.1603e-02         0.34       1.000          23.0
  20      1.3021e+02     7.1772e-02         0.11       1.000          24.6
  21      9.7794e+01     7.1815e-02        -0.27       1.000          26.3
  22      7.3447e+01     7.2045e-02        -0.40       1.000          28.0
  23      5.4991e+01     7.2167e-02        -0.49       1.000          29.8
  24      4.0675e+01     7.2362e-02        -0.64       1.000          31.7
  25      2.9692e+01     7.2562e-02        -0.81       1.000          33.7
  26      2.1366e+01     7.2823e-02        -0.96       1.000          35.9
  27      1.5137e+01     7.3093e-02        -1.08       1.000          38.4
  28      1.0545e+01     7.3494e-02        -1.23       1.000          41.2
  29      7.2118e+00     7.3900e-02        -1.59       1.000          44.6
  30      4.8357e+00     7.4487e-02        -1.44       1.000          48.7
  31      3.1743e+00     7.5052e-02        -1.44       1.000          53.8
  32      2.0373e+00     7.5703e-02        -1.38       1.000          60.5
  33      1.2772e+00     7.6241e-02        -1.33       1.000          71.0
  34      7.8169e-01     7.6729e-02        -1.18       1.000          84.6
  35      4.6733e-01     7.7158e-02        -1.29       1.000         104.8
  36      2.7337e-01     7.7763e-02        -1.36       1.000         158.4
  37      1.5697e-01     7.8390e-02        -1.70       1.000         197.8
  38      8.8914e-02     7.9264e-02        -1.97       1.000         249.8
  39      5.0000e-02     8.0469e-02        -2.54       1.000         342.1

