File.......:  nimh2-0100-1 - AUG,17.2023

System.....:  NiMH2 2000mAh
Potential..:  1.325V
Current....:  -100.45mA
Temperature:  -0.6 +-0.0 C
Time.......:  12:17:27 - 12:22:56
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   55
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      3.0738e+02     7.5155e-02         0.93       0.999           0.0
   2      4.0928e+02     7.4794e-02         1.46       0.998           2.8
   3      5.4495e+02     7.5032e-02         2.60       1.000           4.4
   4      7.2560e+02     7.5037e-02         3.66       1.000           5.8
   5      9.6613e+02     7.5103e-02         5.03       1.000           6.8
   6      1.2864e+03     7.5252e-02         6.82       1.000           7.9
   7      1.7128e+03     7.5705e-02         9.14       1.000           8.9
   8      2.2806e+03     7.6543e-02        12.16       1.000          10.0
   9      3.0367e+03     7.8004e-02        16.12       1.000          11.0
  10      4.0433e+03     8.0576e-02        20.86       0.999          12.1
  11      5.3837e+03     8.4866e-02        26.79       0.999          13.2
  12      7.1684e+03     9.1946e-02        33.49       1.000          14.2
  13      9.5446e+03     1.0302e-01        40.81       1.000          15.3
  14      1.2709e+04     1.1953e-01        47.84       1.000          16.3
  15      1.6922e+04     1.4305e-01        54.35       0.999          17.4
  16      2.2531e+04     1.7588e-01        59.98       0.999          18.5
  17      3.0000e+04     2.1956e-01        65.05       0.999          19.6
  18      2.2531e+04     1.7604e-01        60.01       1.000          21.0
  19      1.6922e+04     1.4313e-01        54.34       0.999          22.2
  20      1.2709e+04     1.1955e-01        47.85       0.999          23.2
  21      9.5446e+03     1.0302e-01        40.79       0.999          24.3
  22      7.1684e+03     9.1915e-02        33.55       0.999          25.3
  23      5.3837e+03     8.4866e-02        26.79       0.999          26.4
  24      4.0433e+03     8.0567e-02        20.95       0.999          27.5
  25      3.0367e+03     7.7972e-02        16.07       0.999          28.5
  26      2.2806e+03     7.6541e-02        12.17       1.000          29.6
  27      1.7128e+03     7.5743e-02         9.16       1.000          30.6
  28      1.2864e+03     7.5292e-02         6.80       1.000          31.7
  29      9.6613e+02     7.5111e-02         5.05       1.000          32.7
  30      7.2560e+02     7.4979e-02         3.67       1.000          33.8
  31      5.4495e+02     7.5002e-02         2.60       1.000          34.8
  32      4.0928e+02     7.4816e-02         1.54       1.000          36.6
  33      3.0738e+02     7.5154e-02         1.00       1.000          38.7
  34      2.3085e+02     7.5246e-02         0.51       0.999          40.3
  35      1.7338e+02     7.5340e-02         0.12       1.000          41.8
  36      1.3021e+02     7.5320e-02        -0.03       1.000          43.4
  37      9.7794e+01     7.5495e-02        -0.58       1.000          45.0
  38      7.3447e+01     7.5876e-02        -0.64       0.999          46.7
  39      5.4991e+01     7.6072e-02        -0.94       1.000          48.5
  40      4.0675e+01     7.6251e-02        -1.00       1.000          50.4
  41      2.9692e+01     7.6794e-02        -1.39       1.000          52.5
  42      2.1366e+01     7.6727e-02        -1.58       1.000          54.7
  43      1.5137e+01     7.7303e-02        -1.73       1.000          57.2
  44      1.0545e+01     7.8158e-02        -2.26       0.999          60.0
  45      7.2118e+00     7.8733e-02        -2.74       1.000          63.4
  46      4.8357e+00     7.9664e-02        -2.98       0.999          67.4
  47      3.1743e+00     8.0594e-02        -3.05       0.999          72.6
  48      2.0373e+00     8.2089e-02        -4.26       0.999          79.3
  49      1.2772e+00     8.4485e-02        -4.17       1.000          89.8
  50      7.8169e-01     8.7000e-02        -4.01       1.000         103.4
  51      4.6733e-01     8.9524e-02        -3.65       1.000         123.6
  52      2.7337e-01     9.1042e-02        -2.93       1.000         150.6
  53      1.5697e-01     9.2449e-02        -2.90       1.000         190.0
  54      8.8914e-02     9.3889e-02        -2.78       1.000         242.1
  55      5.0000e-02     9.4812e-02        -3.28       0.999         307.0

