File.......:  nimh2-1220-1 - AUG,17.2023

System.....:  NiMH2 2000mAh
Potential..:  1.220V
Current....:  -174.97mA
Temperature:  -0.7 +-0.0 C
Time.......:  13:55:02 - 13:59:57
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   55
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      3.0738e+02     7.6440e-02         1.00       1.000           0.0
   2      4.0928e+02     7.6328e-02         1.51       1.000           1.6
   3      5.4495e+02     7.6336e-02         2.54       1.000           2.1
   4      7.2560e+02     7.6325e-02         3.55       1.000           2.7
   5      9.6613e+02     7.6373e-02         4.87       1.000           3.2
   6      1.2864e+03     7.6519e-02         6.59       1.000           3.8
   7      1.7128e+03     7.6891e-02         8.89       1.000           4.3
   8      2.2806e+03     7.7633e-02        11.89       1.000           4.9
   9      3.0367e+03     7.9028e-02        15.77       1.000           5.4
  10      4.0433e+03     8.1487e-02        20.61       1.000           6.0
  11      5.3837e+03     8.5726e-02        26.49       0.999           6.6
  12      7.1684e+03     9.2711e-02        33.25       0.999           7.1
  13      9.5446e+03     1.0372e-01        40.55       0.999           7.7
  14      1.2709e+04     1.2028e-01        47.74       0.999           8.2
  15      1.6922e+04     1.4403e-01        54.34       0.999           8.8
  16      2.2531e+04     1.7689e-01        60.04       0.999           9.4
  17      3.0000e+04     2.2097e-01        64.80       0.998           9.9
  18      2.2531e+04     1.7685e-01        60.04       0.999          10.5
  19      1.6922e+04     1.4401e-01        54.33       0.999          11.0
  20      1.2709e+04     1.2026e-01        47.74       1.000          11.6
  21      9.5446e+03     1.0373e-01        40.55       1.000          12.1
  22      7.1684e+03     9.2694e-02        33.25       1.000          12.7
  23      5.3837e+03     8.5721e-02        26.49       1.000          13.2
  24      4.0433e+03     8.1489e-02        20.62       1.000          13.8
  25      3.0367e+03     7.9019e-02        15.77       1.000          14.4
  26      2.2806e+03     7.7628e-02        11.89       1.000          14.9
  27      1.7128e+03     7.6883e-02         8.89       1.000          15.5
  28      1.2864e+03     7.6513e-02         6.58       1.000          16.0
  29      9.6613e+02     7.6357e-02         4.87       1.000          16.6
  30      7.2560e+02     7.6309e-02         3.55       1.000          17.1
  31      5.4495e+02     7.6331e-02         2.54       1.000          17.7
  32      4.0928e+02     7.6329e-02         1.52       1.000          18.3
  33      3.0738e+02     7.6426e-02         0.99       1.000          18.8
  34      2.3085e+02     7.6512e-02         0.52       1.000          19.3
  35      1.7338e+02     7.6636e-02         0.20       1.000          19.9
  36      1.3021e+02     7.6779e-02        -0.02       1.000          20.4
  37      9.7794e+01     7.6881e-02        -0.34       1.000          21.1
  38      7.3447e+01     7.7051e-02        -0.47       1.000          21.7
  39      5.4991e+01     7.7213e-02        -0.53       1.000          23.2
  40      4.0675e+01     7.7396e-02        -0.66       1.000          25.1
  41      2.9692e+01     7.7633e-02        -0.81       1.000          26.7
  42      2.1366e+01     7.7920e-02        -0.94       1.000          28.4
  43      1.5137e+01     7.8230e-02        -1.10       1.000          30.3
  44      1.0545e+01     7.8607e-02        -1.20       1.000          32.7
  45      7.2118e+00     7.9026e-02        -1.53       1.000          35.5
  46      4.8357e+00     7.9628e-02        -1.31       1.000          39.1
  47      3.1743e+00     8.0215e-02        -1.38       1.000          43.8
  48      2.0373e+00     8.0874e-02        -1.14       1.000          50.0
  49      1.2772e+00     8.1323e-02        -1.21       1.000          59.7
  50      7.8169e-01     8.1725e-02        -1.10       1.000          72.8
  51      4.6733e-01     8.2180e-02        -1.26       1.000          92.5
  52      2.7337e-01     8.2745e-02        -1.39       1.000         119.0
  53      1.5697e-01     8.3505e-02        -1.74       1.000         157.9
  54      8.8914e-02     8.4464e-02        -2.15       1.000         209.5
  55      5.0000e-02     8.5620e-02        -2.68       0.999         273.9

