File.......:  nimh3-0200-2 - AUG,17.2023

System.....:  NiMH3 2000mAh
Potential..:  1.292V
Current....:  -200.48mA
Temperature:  -0.6 +-0.0 C
Time.......:  14:46:10 - 14:51:37
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   55
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      3.0738e+02     7.8145e-02         0.91       1.000           0.0
   2      4.0928e+02     7.8063e-02         1.46       0.999           2.7
   3      5.4495e+02     7.8089e-02         2.61       1.000           4.3
   4      7.2560e+02     7.8072e-02         3.65       1.000           5.6
   5      9.6613e+02     7.8141e-02         4.99       1.000           6.6
   6      1.2864e+03     7.8336e-02         6.71       1.000           7.6
   7      1.7128e+03     7.8805e-02         9.04       1.000           8.6
   8      2.2806e+03     7.9619e-02        12.04       1.000           9.7
   9      3.0367e+03     8.1116e-02        15.91       1.000          10.7
  10      4.0433e+03     8.3692e-02        20.67       1.000          11.7
  11      5.3837e+03     8.8140e-02        26.52       1.000          12.7
  12      7.1684e+03     9.5361e-02        33.19       0.999          13.8
  13      9.5446e+03     1.0663e-01        40.38       0.999          14.8
  14      1.2709e+04     1.2364e-01        47.48       0.999          15.8
  15      1.6922e+04     1.4771e-01        54.00       1.000          16.8
  16      2.2531e+04     1.8112e-01        59.67       1.000          17.8
  17      3.0000e+04     2.2564e-01        64.61       1.000          18.9
  18      2.2531e+04     1.8107e-01        59.67       1.000          20.2
  19      1.6922e+04     1.4782e-01        54.04       1.000          21.3
  20      1.2709e+04     1.2363e-01        47.49       0.999          22.3
  21      9.5446e+03     1.0670e-01        40.40       1.000          23.4
  22      7.1684e+03     9.5372e-02        33.20       0.999          24.4
  23      5.3837e+03     8.8178e-02        26.51       0.999          25.4
  24      4.0433e+03     8.3735e-02        20.71       1.000          26.4
  25      3.0367e+03     8.1104e-02        15.91       1.000          27.4
  26      2.2806e+03     7.9629e-02        12.02       1.000          28.5
  27      1.7128e+03     7.8790e-02         9.03       1.000          29.5
  28      1.2864e+03     7.8357e-02         6.71       1.000          30.5
  29      9.6613e+02     7.8144e-02         4.98       1.000          31.5
  30      7.2560e+02     7.8085e-02         3.64       1.000          32.5
  31      5.4495e+02     7.8074e-02         2.58       1.000          33.5
  32      4.0928e+02     7.8133e-02         1.50       1.000          35.3
  33      3.0738e+02     7.8318e-02         0.95       1.000          37.3
  34      2.3085e+02     7.8314e-02         0.43       0.999          38.8
  35      1.7338e+02     7.8392e-02         0.01       1.000          40.3
  36      1.3021e+02     7.8655e-02        -0.22       0.999          41.9
  37      9.7794e+01     7.8832e-02        -0.48       0.999          43.5
  38      7.3447e+01     7.9043e-02        -0.71       1.000          45.1
  39      5.4991e+01     7.9106e-02        -0.74       1.000          46.9
  40      4.0675e+01     7.9411e-02        -1.00       1.000          48.7
  41      2.9692e+01     7.9828e-02        -1.25       1.000          50.7
  42      2.1366e+01     7.9980e-02        -1.43       1.000          52.9
  43      1.5137e+01     8.0600e-02        -1.76       1.000          55.3
  44      1.0545e+01     8.1135e-02        -2.03       1.000          58.1
  45      7.2118e+00     8.1843e-02        -2.64       1.000          61.4
  46      4.8357e+00     8.2872e-02        -2.67       1.000          65.5
  47      3.1743e+00     8.3694e-02        -3.13       1.000          70.6
  48      2.0373e+00     8.5522e-02        -3.63       1.000          77.3
  49      1.2772e+00     8.7530e-02        -3.87       1.000          87.7
  50      7.8169e-01     8.9922e-02        -3.62       1.000         101.2
  51      4.6733e-01     9.2031e-02        -3.30       1.000         121.4
  52      2.7337e-01     9.3354e-02        -2.77       1.000         148.4
  53      1.5697e-01     9.4358e-02        -2.45       1.000         187.8
  54      8.8914e-02     9.5739e-02        -2.50       1.000         239.8
  55      5.0000e-02     9.6766e-02        -2.80       1.000         304.6

