File.......:  varta nimh 3 at 1.294v 50% discharged - MAR,22.2018

System.....:  Varta NiMH 3 at 1.294v
Potential..:  1.294V
Current....:  -21.549mA
Temperature:  -0.6 +-0.0 C
Time.......:  08:34:46 - 08:40:01
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.4218e-02         3.73       1.000           0.0
   2      1.7253e+03     9.4218e-02         5.38       1.000           2.7
   3      2.2987e+03     9.4434e-02         7.50       1.000           3.3
   4      3.0627e+03     9.5064e-02        10.28       1.000           3.8
   5      4.0807e+03     9.6303e-02        13.78       1.000           4.4
   6      5.4370e+03     9.8699e-02        18.26       1.000           5.0
   7      7.2441e+03     1.0289e-01        23.76       0.999           5.5
   8      9.6518e+03     1.0987e-01        30.27       1.000           6.1
   9      1.2860e+04     1.2108e-01        37.38       1.000           6.6
  10      1.7134e+04     1.3825e-01        44.75       0.999           7.2
  11      2.2829e+04     1.6350e-01        51.72       0.999           7.8
  12      3.0417e+04     1.9918e-01        57.93       0.999           8.3
  13      4.0526e+04     2.4768e-01        62.97       0.999           8.8
  14      5.3996e+04     3.1213e-01        67.13       1.000           9.4
  15      7.1943e+04     3.9729e-01        70.48       0.999           9.9
  16      9.5855e+04     5.0983e-01        73.35       0.999          10.5
  17      1.2771e+05     6.5921e-01        75.37       0.999          11.0
  18      1.7016e+05     8.5153e-01        78.30       1.000          12.0
  19      2.2672e+05     1.1037e+00        79.89       0.999          12.8
  20      3.0208e+05     1.4381e+00        81.46       0.999          13.4
  21      4.0248e+05     1.8893e+00        82.91       0.999          13.9
  22      5.3625e+05     2.5213e+00        83.44       0.998          14.7
  23      7.1449e+05     3.2765e+00        84.72       0.998          15.5
  24      9.5196e+05     4.3583e+00        85.11       0.998          16.0
  25      1.2684e+06     6.0270e+00        85.92       0.998          16.5
  26      1.6899e+06     7.5757e+00        89.55       0.997          17.3
  27      2.2516e+06     9.8306e+00        88.80       0.994          18.2
  28      3.0000e+06     1.4235e+01        89.05       0.994          18.7
  29      2.2516e+06     1.0222e+01        86.57       0.994          19.3
  30      1.6899e+06     8.3382e+00        85.84       0.998          20.1
  31      1.2684e+06     5.9128e+00        85.03       0.999          20.9
  32      9.5196e+05     4.4065e+00        84.64       0.998          21.4
  33      7.1449e+05     3.2883e+00        84.27       0.999          21.9
  34      5.3625e+05     2.5054e+00        83.12       0.999          22.4
  35      4.0248e+05     1.8870e+00        82.60       0.999          23.2
  36      3.0208e+05     1.4378e+00        81.27       0.999          24.0
  37      2.2672e+05     1.1046e+00        80.13       0.999          24.6
  38      1.7016e+05     8.5091e-01        78.30       0.999          25.1
  39      1.2771e+05     6.5746e-01        76.21       1.000          25.7
  40      9.5855e+04     5.1020e-01        73.90       0.999          26.2
  41      7.1943e+04     3.9809e-01        71.05       0.999          26.8
  42      5.3996e+04     3.1231e-01        67.15       0.999          27.7
  43      4.0526e+04     2.4766e-01        62.96       1.000          28.6
  44      3.0417e+04     1.9918e-01        57.92       1.000          29.1
  45      2.2829e+04     1.6346e-01        51.76       0.999          29.7
  46      1.7134e+04     1.3823e-01        44.77       1.000          30.2
  47      1.2860e+04     1.2102e-01        37.41       1.000          30.8
  48      9.6518e+03     1.0980e-01        30.29       1.000          31.3
  49      7.2441e+03     1.0282e-01        23.78       1.000          31.9
  50      5.4370e+03     9.8618e-02        18.28       0.999          32.4
  51      4.0807e+03     9.6213e-02        13.80       1.000          33.0
  52      3.0627e+03     9.4974e-02        10.29       1.000          33.6
  53      2.2987e+03     9.4332e-02         7.50       1.000          34.1
  54      1.7253e+03     9.4109e-02         5.38       1.000          34.7
  55      1.2949e+03     9.4113e-02         3.74       1.000          35.2
  56      9.7186e+02     9.4282e-02         2.51       1.000          35.8
  57      7.2942e+02     9.4517e-02         1.54       1.000          36.3
  58      5.4746e+02     9.4825e-02         0.76       1.000          36.9
  59      4.1089e+02     9.5100e-02        -0.10       1.000          37.4
  60      3.0839e+02     9.5527e-02        -0.52       1.000          38.0
  61      2.3146e+02     9.5949e-02        -0.92       1.000          38.5
  62      1.7372e+02     9.6411e-02        -1.23       1.000          39.0
  63      1.3038e+02     9.6930e-02        -1.45       1.000          39.6
  64      9.7859e+01     9.7404e-02        -1.79       1.000          40.2
  65      7.3447e+01     9.7979e-02        -1.98       1.000          40.9
  66      5.4991e+01     9.8571e-02        -2.08       1.000          42.4
  67      4.0675e+01     9.9207e-02        -2.36       1.000          44.3
  68      2.9692e+01     9.9879e-02        -2.67       1.000          45.8
  69      2.1366e+01     1.0064e-01        -3.11       1.000          47.5
  70      1.5137e+01     1.0159e-01        -3.68       1.000          49.5
  71      1.0545e+01     1.0283e-01        -4.49       1.000          51.8
  72      7.2118e+00     1.0457e-01        -5.81       1.000          54.7
  73      4.8357e+00     1.0742e-01        -6.86       1.000          58.2
  74      3.1743e+00     1.1176e-01        -8.36       1.000          62.9
  75      2.0373e+00     1.1830e-01        -9.24       1.000          69.1
  76      1.2772e+00     1.2641e-01        -9.51       1.000          78.8
  77      7.8169e-01     1.3478e-01        -8.37       1.000          91.9
  78      4.6733e-01     1.4132e-01        -6.78       1.000         111.7
  79      2.7337e-01     1.4576e-01        -5.26       1.000         138.2
  80      1.5697e-01     1.4888e-01        -4.13       1.000         177.1
  81      8.8914e-02     1.5088e-01        -3.71       1.000         228.6
  82      5.0000e-02     1.5362e-01        -3.96       0.999         293.0

