File.......:  varta nimh 1 at 1.276v 75% discharged - MAR,21.2018

System.....:  Varta NiMH 1 at 1.276v
Potential..:  1.280V
Current....:  -24.544mA
Temperature:  -0.6 +-0.0 C
Time.......:  10:05:02 - 10:10:17
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.1236e-02         3.72       1.000           0.0
   2      1.7253e+03     9.1218e-02         5.35       1.000           2.7
   3      2.2987e+03     9.1427e-02         7.45       1.000           3.3
   4      3.0627e+03     9.2030e-02        10.22       1.000           3.8
   5      4.0807e+03     9.3210e-02        13.71       1.000           4.4
   6      5.4370e+03     9.5498e-02        18.16       1.000           5.0
   7      7.2441e+03     9.9508e-02        23.65       0.999           5.5
   8      9.6518e+03     1.0617e-01        30.13       1.000           6.1
   9      1.2860e+04     1.1691e-01        37.27       0.999           6.6
  10      1.7134e+04     1.3342e-01        44.66       1.000           7.2
  11      2.2829e+04     1.5768e-01        51.66       0.999           7.8
  12      3.0417e+04     1.9206e-01        57.90       0.999           8.3
  13      4.0526e+04     2.3879e-01        63.02       0.999           8.8
  14      5.3996e+04     3.0112e-01        67.22       1.000           9.4
  15      7.1943e+04     3.8379e-01        70.64       0.999           9.9
  16      9.5855e+04     4.9233e-01        73.36       1.000          10.5
  17      1.2771e+05     6.3669e-01        75.78       0.999          11.0
  18      1.7016e+05     8.2719e-01        77.54       0.998          11.6
  19      2.2672e+05     1.0692e+00        80.08       1.000          12.5
  20      3.0208e+05     1.4010e+00        81.49       0.999          13.4
  21      4.0248e+05     1.8290e+00        82.90       0.999          13.9
  22      5.3625e+05     2.4299e+00        83.16       0.998          14.7
  23      7.1449e+05     3.1910e+00        84.92       0.999          15.5
  24      9.5196e+05     4.2361e+00        85.67       0.999          16.0
  25      1.2684e+06     5.7329e+00        85.22       0.999          16.5
  26      1.6899e+06     7.8330e+00        85.90       0.995          17.0
  27      2.2516e+06     9.8336e+00        90.59       0.996          17.8
  28      3.0000e+06     1.3620e+01        88.41       0.993          18.7
  29      2.2516e+06     9.9713e+00        86.68       0.994          19.3
  30      1.6899e+06     8.0078e+00        85.96       0.999          20.1
  31      1.2684e+06     5.7710e+00        84.78       0.998          20.9
  32      9.5196e+05     4.2078e+00        85.21       0.997          21.4
  33      7.1449e+05     3.1715e+00        84.56       0.998          21.9
  34      5.3625e+05     2.4192e+00        83.04       0.999          22.4
  35      4.0248e+05     1.8239e+00        82.86       0.998          23.2
  36      3.0208e+05     1.3948e+00        81.32       0.999          24.0
  37      2.2672e+05     1.0701e+00        80.22       0.999          24.6
  38      1.7016e+05     8.2314e-01        78.29       1.000          25.1
  39      1.2771e+05     6.3572e-01        76.34       1.000          25.7
  40      9.5855e+04     4.9274e-01        74.03       1.000          26.2
  41      7.1943e+04     3.8335e-01        70.64       0.999          27.2
  42      5.3996e+04     3.0108e-01        67.24       1.000          28.1
  43      4.0526e+04     2.3856e-01        63.04       1.000          28.6
  44      3.0417e+04     1.9206e-01        57.90       0.998          29.1
  45      2.2829e+04     1.5766e-01        51.68       0.999          29.7
  46      1.7134e+04     1.3339e-01        44.65       1.000          30.2
  47      1.2860e+04     1.1689e-01        37.28       0.999          30.8
  48      9.6518e+03     1.0615e-01        30.15       0.999          31.4
  49      7.2441e+03     9.9460e-02        23.66       1.000          31.9
  50      5.4370e+03     9.5458e-02        18.18       1.000          32.4
  51      4.0807e+03     9.3165e-02        13.72       1.000          33.0
  52      3.0627e+03     9.1979e-02        10.22       1.000          33.6
  53      2.2987e+03     9.1381e-02         7.46       1.000          34.1
  54      1.7253e+03     9.1167e-02         5.35       1.000          34.7
  55      1.2949e+03     9.1177e-02         3.72       1.000          35.2
  56      9.7186e+02     9.1340e-02         2.51       1.000          35.8
  57      7.2942e+02     9.1571e-02         1.55       1.000          36.3
  58      5.4746e+02     9.1848e-02         0.80       1.000          36.9
  59      4.1089e+02     9.2126e-02        -0.05       1.000          37.4
  60      3.0839e+02     9.2508e-02        -0.43       1.000          38.0
  61      2.3146e+02     9.2877e-02        -0.83       1.000          38.5
  62      1.7372e+02     9.3309e-02        -1.13       1.000          39.0
  63      1.3038e+02     9.3774e-02        -1.31       1.000          39.6
  64      9.7859e+01     9.4183e-02        -1.64       1.000          40.2
  65      7.3447e+01     9.4671e-02        -1.82       1.000          40.9
  66      5.4991e+01     9.5181e-02        -1.93       1.000          42.4
  67      4.0675e+01     9.5762e-02        -2.17       1.000          44.3
  68      2.9692e+01     9.6346e-02        -2.48       1.000          45.8
  69      2.1366e+01     9.7037e-02        -2.91       1.000          47.5
  70      1.5137e+01     9.7894e-02        -3.48       1.000          49.5
  71      1.0545e+01     9.9004e-02        -4.24       1.000          51.8
  72      7.2118e+00     1.0056e-01        -5.50       1.000          54.7
  73      4.8357e+00     1.0320e-01        -6.49       1.000          58.2
  74      3.1743e+00     1.0711e-01        -7.95       1.000          62.9
  75      2.0373e+00     1.1304e-01        -8.86       1.000          69.1
  76      1.2772e+00     1.2051e-01        -9.19       1.000          78.8
  77      7.8169e-01     1.2820e-01        -8.14       1.000          91.9
  78      4.6733e-01     1.3430e-01        -6.63       1.000         111.7
  79      2.7337e-01     1.3871e-01        -5.12       1.000         138.2
  80      1.5697e-01     1.4185e-01        -4.19       1.000         177.1
  81      8.8914e-02     1.4393e-01        -3.72       1.000         228.6
  82      5.0000e-02     1.4663e-01        -3.72       1.000         293.0

