File.......:  varta nimh 2 at 1.265v 100% discharged - MAR,21.2018

System.....:  Varta NiMH 2 at 1.265v
Potential..:  1.272V
Current....:  -24.712mA
Temperature:  -0.6 +-0.0 C
Time.......:  12:29:17 - 12:34:33
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.8578e-02         3.51       1.000           0.0
   2      1.7253e+03     9.8542e-02         5.07       1.000           2.7
   3      2.2987e+03     9.8730e-02         7.05       1.000           3.3
   4      3.0627e+03     9.9302e-02         9.68       1.000           3.8
   5      4.0807e+03     1.0044e-01        13.00       1.000           4.4
   6      5.4370e+03     1.0269e-01        17.26       1.000           5.0
   7      7.2441e+03     1.0663e-01        22.53       0.999           5.5
   8      9.6518e+03     1.1320e-01        28.82       0.999           6.1
   9      1.2860e+04     1.2389e-01        35.81       1.000           6.6
  10      1.7134e+04     1.4040e-01        43.14       0.999           7.2
  11      2.2829e+04     1.6484e-01        50.18       1.000           7.8
  12      3.0417e+04     1.9950e-01        56.51       1.000           8.3
  13      4.0526e+04     2.4698e-01        61.75       1.000           8.8
  14      5.3996e+04     3.1015e-01        66.14       0.999           9.4
  15      7.1943e+04     3.9407e-01        69.66       0.999           9.9
  16      9.5855e+04     5.0444e-01        72.61       0.999          10.5
  17      1.2771e+05     6.4611e-01        74.98       0.999          11.0
  18      1.7016e+05     8.3984e-01        77.82       0.999          12.0
  19      2.2672e+05     1.0903e+00        79.66       0.999          12.8
  20      3.0208e+05     1.4202e+00        80.95       0.999          13.4
  21      4.0248e+05     1.8559e+00        82.48       0.999          13.9
  22      5.3625e+05     2.4445e+00        82.85       0.999          14.7
  23      7.1449e+05     3.2684e+00        84.50       0.999          15.5
  24      9.5196e+05     4.3689e+00        85.04       0.997          16.0
  25      1.2684e+06     5.9601e+00        85.01       0.997          16.5
  26      1.6899e+06     7.3293e+00        87.08       0.998          17.3
  27      2.2516e+06     9.6737e+00        89.80       0.992          18.2
  28      3.0000e+06     1.3529e+01        90.63       0.995          18.7
  29      2.2516e+06     1.0311e+01        88.13       0.996          19.3
  30      1.6899e+06     8.3226e+00        86.62       0.998          20.1
  31      1.2684e+06     5.9737e+00        85.20       0.998          20.9
  32      9.5196e+05     4.3282e+00        84.32       0.998          21.4
  33      7.1449e+05     3.2269e+00        83.96       0.999          21.9
  34      5.3625e+05     2.4667e+00        83.04       0.999          22.4
  35      4.0248e+05     1.8510e+00        82.61       0.999          23.2
  36      3.0208e+05     1.4196e+00        80.92       0.999          24.0
  37      2.2672e+05     1.0874e+00        79.66       0.999          24.6
  38      1.7016e+05     8.3921e-01        77.82       0.999          25.1
  39      1.2771e+05     6.4780e-01        75.62       0.999          25.7
  40      9.5855e+04     5.0439e-01        73.23       1.000          26.2
  41      7.1943e+04     3.9454e-01        70.21       0.999          26.8
  42      5.3996e+04     3.1002e-01        66.16       1.000          27.7
  43      4.0526e+04     2.4656e-01        61.80       1.000          28.6
  44      3.0417e+04     1.9949e-01        56.53       0.999          29.1
  45      2.2829e+04     1.6472e-01        50.21       1.000          29.7
  46      1.7134e+04     1.4039e-01        43.16       0.999          30.2
  47      1.2860e+04     1.2384e-01        35.82       1.000          30.8
  48      9.6518e+03     1.1315e-01        28.84       1.000          31.3
  49      7.2441e+03     1.0656e-01        22.55       1.000          31.9
  50      5.4370e+03     1.0260e-01        17.27       1.000          32.4
  51      4.0807e+03     1.0035e-01        13.01       1.000          33.0
  52      3.0627e+03     9.9213e-02         9.69       1.000          33.6
  53      2.2987e+03     9.8623e-02         7.06       1.000          34.1
  54      1.7253e+03     9.8430e-02         5.06       1.000          34.7
  55      1.2949e+03     9.8462e-02         3.51       1.000          35.2
  56      9.7186e+02     9.8636e-02         2.36       1.000          35.8
  57      7.2942e+02     9.8884e-02         1.45       1.000          36.3
  58      5.4746e+02     9.9194e-02         0.73       1.000          36.9
  59      4.1089e+02     9.9469e-02        -0.09       1.000          37.4
  60      3.0839e+02     9.9883e-02        -0.47       1.000          38.0
  61      2.3146e+02     1.0028e-01        -0.85       1.000          38.5
  62      1.7372e+02     1.0074e-01        -1.12       1.000          39.0
  63      1.3038e+02     1.0124e-01        -1.31       1.000          39.6
  64      9.7859e+01     1.0167e-01        -1.63       1.000          40.2
  65      7.3447e+01     1.0224e-01        -1.80       1.000          40.9
  66      5.4991e+01     1.0277e-01        -1.86       1.000          42.4
  67      4.0675e+01     1.0336e-01        -2.11       1.000          44.3
  68      2.9692e+01     1.0401e-01        -2.42       1.000          45.8
  69      2.1366e+01     1.0478e-01        -2.80       1.000          47.5
  70      1.5137e+01     1.0572e-01        -3.30       1.000          49.5
  71      1.0545e+01     1.0686e-01        -3.98       1.000          51.8
  72      7.2118e+00     1.0858e-01        -5.13       1.000          54.7
  73      4.8357e+00     1.1137e-01        -5.91       1.000          58.2
  74      3.1743e+00     1.1532e-01        -7.03       1.000          62.9
  75      2.0373e+00     1.2114e-01        -7.45       1.000          69.1
  76      1.2772e+00     1.2746e-01        -7.36       1.000          78.8
  77      7.8169e-01     1.3353e-01        -6.26       1.000          91.9
  78      4.6733e-01     1.3803e-01        -5.10       1.000         111.7
  79      2.7337e-01     1.4127e-01        -3.99       1.000         138.2
  80      1.5697e-01     1.4351e-01        -3.44       1.000         177.1
  81      8.8914e-02     1.4600e-01        -3.27       0.999         228.6
  82      5.0000e-02     1.4791e-01        -3.48       1.000         293.0

