File.......:  varta nimh 3 at 1.280v 75% discharged - MAR,22.2018

System.....:  Varta NiMH 3 at 1.280v
Potential..:  1.280V
Current....:  -24.545mA
Temperature:  -0.6 +-0.0 C
Time.......:  08:51:38 - 08:56:54
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.2932e-02         3.85       1.000           0.0
   2      1.7253e+03     9.2928e-02         5.54       1.000           2.7
   3      2.2987e+03     9.3160e-02         7.72       1.000           3.3
   4      3.0627e+03     9.3823e-02        10.57       1.000           3.8
   5      4.0807e+03     9.5108e-02        14.16       1.000           4.4
   6      5.4370e+03     9.7597e-02        18.75       1.000           5.0
   7      7.2441e+03     1.0194e-01        24.35       0.999           5.5
   8      9.6518e+03     1.0914e-01        30.96       0.999           6.1
   9      1.2860e+04     1.2070e-01        38.16       1.000           6.6
  10      1.7134e+04     1.3832e-01        45.54       1.000           7.2
  11      2.2829e+04     1.6417e-01        52.49       1.000           7.8
  12      3.0417e+04     2.0058e-01        58.59       0.999           8.3
  13      4.0526e+04     2.4991e-01        63.63       0.999           8.8
  14      5.3996e+04     3.1577e-01        67.68       1.000           9.4
  15      7.1943e+04     4.0283e-01        70.91       1.000           9.9
  16      9.5855e+04     5.1603e-01        73.72       1.000          10.5
  17      1.2771e+05     6.6818e-01        75.69       0.999          11.0
  18      1.7016e+05     8.6360e-01        78.40       1.000          12.0
  19      2.2672e+05     1.1181e+00        80.29       1.000          12.8
  20      3.0208e+05     1.4604e+00        81.69       0.999          13.4
  21      4.0248e+05     1.9234e+00        82.96       0.998          13.9
  22      5.3625e+05     2.5491e+00        83.28       0.999          14.7
  23      7.1449e+05     3.3671e+00        84.90       0.999          15.5
  24      9.5196e+05     4.4383e+00        85.79       0.996          16.0
  25      1.2684e+06     6.0299e+00        86.23       0.998          16.5
  26      1.6899e+06     8.3785e+00        84.78       0.998          17.0
  27      2.2516e+06     1.0188e+01        90.21       0.993          17.8
  28      3.0000e+06     1.3816e+01        91.18       0.996          18.7
  29      2.2516e+06     1.0508e+01        90.23       0.994          19.3
  30      1.6899e+06     8.5130e+00        84.97       0.998          20.1
  31      1.2684e+06     6.1584e+00        85.70       0.997          20.9
  32      9.5196e+05     4.4839e+00        84.67       0.996          21.4
  33      7.1449e+05     3.3518e+00        84.12       0.999          21.9
  34      5.3625e+05     2.5489e+00        83.39       0.999          22.4
  35      4.0248e+05     1.9129e+00        82.84       0.999          23.2
  36      3.0208e+05     1.4675e+00        81.66       1.000          24.0
  37      2.2672e+05     1.1234e+00        80.20       0.999          24.6
  38      1.7016e+05     8.6286e-01        78.48       0.999          25.1
  39      1.2771e+05     6.6598e-01        76.49       0.999          25.7
  40      9.5855e+04     5.1716e-01        74.32       0.999          26.2
  41      7.1943e+04     4.0332e-01        71.42       0.999          26.8
  42      5.3996e+04     3.1559e-01        67.70       1.000          27.7
  43      4.0526e+04     2.4985e-01        63.57       1.000          28.6
  44      3.0417e+04     2.0064e-01        58.62       0.999          29.1
  45      2.2829e+04     1.6412e-01        52.51       1.000          29.7
  46      1.7134e+04     1.3833e-01        45.55       0.999          30.2
  47      1.2860e+04     1.2064e-01        38.17       1.000          30.8
  48      9.6518e+03     1.0909e-01        30.98       1.000          31.3
  49      7.2441e+03     1.0189e-01        24.38       0.999          31.9
  50      5.4370e+03     9.7528e-02        18.76       1.000          32.4
  51      4.0807e+03     9.5034e-02        14.18       1.000          33.0
  52      3.0627e+03     9.3742e-02        10.58       1.000          33.6
  53      2.2987e+03     9.3076e-02         7.72       1.000          34.1
  54      1.7253e+03     9.2837e-02         5.55       1.000          34.7
  55      1.2949e+03     9.2838e-02         3.86       1.000          35.2
  56      9.7186e+02     9.2996e-02         2.60       1.000          35.8
  57      7.2942e+02     9.3234e-02         1.59       1.000          36.3
  58      5.4746e+02     9.3536e-02         0.82       1.000          36.9
  59      4.1089e+02     9.3806e-02        -0.06       1.000          37.4
  60      3.0839e+02     9.4233e-02        -0.48       1.000          38.0
  61      2.3146e+02     9.4649e-02        -0.90       1.000          38.5
  62      1.7372e+02     9.5120e-02        -1.20       1.000          39.0
  63      1.3038e+02     9.5615e-02        -1.43       1.000          39.6
  64      9.7859e+01     9.6103e-02        -1.78       1.000          40.2
  65      7.3447e+01     9.6643e-02        -1.96       1.000          40.9
  66      5.4991e+01     9.7209e-02        -2.05       1.000          42.4
  67      4.0675e+01     9.7841e-02        -2.31       1.000          44.3
  68      2.9692e+01     9.8476e-02        -2.64       1.000          45.8
  69      2.1366e+01     9.9296e-02        -3.08       1.000          47.5
  70      1.5137e+01     1.0022e-01        -3.63       1.000          49.5
  71      1.0545e+01     1.0147e-01        -4.44       1.000          51.8
  72      7.2118e+00     1.0319e-01        -5.70       1.000          54.7
  73      4.8357e+00     1.0609e-01        -6.65       1.000          58.2
  74      3.1743e+00     1.1038e-01        -8.00       1.000          62.9
  75      2.0373e+00     1.1666e-01        -8.64       1.000          69.1
  76      1.2772e+00     1.2391e-01        -8.65       1.000          78.8
  77      7.8169e-01     1.3099e-01        -7.47       1.000          91.9
  78      4.6733e-01     1.3639e-01        -6.02       1.000         111.7
  79      2.7337e-01     1.4034e-01        -4.66       1.000         138.2
  80      1.5697e-01     1.4314e-01        -3.68       0.999         177.1
  81      8.8914e-02     1.4457e-01        -3.61       1.000         228.6
  82      5.0000e-02     1.4720e-01        -3.57       0.999         293.0

