File.......:  varta nimh 3 at 1.316v 25% discharged - MAR,22.2018

System.....:  Varta NiMH 3 at 1.316v
Potential..:  1.316V
Current....:  -11.055mA
Temperature:  -0.6 +-0.0 C
Time.......:  08:20:04 - 08:25:20
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.2405e-02         3.72       1.000           0.0
   2      1.7253e+03     9.2404e-02         5.38       1.000           2.7
   3      2.2987e+03     9.2616e-02         7.49       1.000           3.3
   4      3.0627e+03     9.3233e-02        10.28       1.000           3.8
   5      4.0807e+03     9.4449e-02        13.80       1.000           4.4
   6      5.4370e+03     9.6809e-02        18.27       1.000           5.0
   7      7.2441e+03     1.0092e-01        23.78       0.999           5.5
   8      9.6518e+03     1.0777e-01        30.28       0.999           6.1
   9      1.2860e+04     1.1879e-01        37.42       0.999           6.6
  10      1.7134e+04     1.3565e-01        44.79       1.000           7.2
  11      2.2829e+04     1.6043e-01        51.77       0.999           7.8
  12      3.0417e+04     1.9554e-01        57.96       0.999           8.3
  13      4.0526e+04     2.4307e-01        63.04       1.000           8.8
  14      5.3996e+04     3.0674e-01        67.22       0.999           9.4
  15      7.1943e+04     3.9064e-01        70.62       1.000           9.9
  16      9.5855e+04     5.0047e-01        73.32       1.000          10.5
  17      1.2771e+05     6.4810e-01        75.37       0.999          11.0
  18      1.7016e+05     8.3461e-01        78.29       0.999          12.0
  19      2.2672e+05     1.0875e+00        79.94       0.999          12.8
  20      3.0208e+05     1.4175e+00        81.28       0.999          13.4
  21      4.0248e+05     1.8544e+00        82.58       0.999          13.9
  22      5.3625e+05     2.4616e+00        83.00       0.999          14.7
  23      7.1449e+05     3.2453e+00        84.84       0.999          15.5
  24      9.5196e+05     4.3444e+00        85.12       0.998          16.0
  25      1.2684e+06     5.7859e+00        85.89       0.997          16.5
  26      1.6899e+06     8.0568e+00        84.97       0.997          17.0
  27      2.2516e+06     9.6259e+00        88.24       0.994          17.8
  28      3.0000e+06     1.4066e+01        89.82       0.993          18.7
  29      2.2516e+06     9.8227e+00        90.25       0.994          19.3
  30      1.6899e+06     7.5618e+00        88.99       0.996          19.8
  31      1.2684e+06     5.9299e+00        84.72       0.999          20.6
  32      9.5196e+05     4.3646e+00        85.14       0.998          21.4
  33      7.1449e+05     3.2426e+00        84.08       0.998          21.9
  34      5.3625e+05     2.4726e+00        83.53       0.999          22.5
  35      4.0248e+05     1.8510e+00        82.79       0.999          23.2
  36      3.0208e+05     1.4178e+00        81.39       0.999          24.0
  37      2.2672e+05     1.0857e+00        80.06       1.000          24.6
  38      1.7016e+05     8.3620e-01        78.23       0.999          25.1
  39      1.2771e+05     6.4549e-01        76.14       1.000          25.7
  40      9.5855e+04     5.0122e-01        73.94       0.999          26.3
  41      7.1943e+04     3.9114e-01        70.67       1.000          27.2
  42      5.3996e+04     3.0678e-01        67.20       0.999          28.1
  43      4.0526e+04     2.4303e-01        63.06       0.999          28.6
  44      3.0417e+04     1.9546e-01        57.97       0.999          29.1
  45      2.2829e+04     1.6038e-01        51.78       1.000          29.7
  46      1.7134e+04     1.3562e-01        44.78       1.000          30.2
  47      1.2860e+04     1.1875e-01        37.42       0.999          30.8
  48      9.6518e+03     1.0774e-01        30.29       0.999          31.4
  49      7.2441e+03     1.0091e-01        23.78       1.000          31.9
  50      5.4370e+03     9.6777e-02        18.27       1.000          32.4
  51      4.0807e+03     9.4412e-02        13.80       0.999          33.0
  52      3.0627e+03     9.3202e-02        10.28       1.000          33.6
  53      2.2987e+03     9.2566e-02         7.49       1.000          34.1
  54      1.7253e+03     9.2360e-02         5.37       1.000          34.7
  55      1.2949e+03     9.2366e-02         3.72       1.000          35.2
  56      9.7186e+02     9.2536e-02         2.48       1.000          35.8
  57      7.2942e+02     9.2773e-02         1.50       1.000          36.3
  58      5.4746e+02     9.3079e-02         0.73       1.000          36.9
  59      4.1089e+02     9.3358e-02        -0.14       1.000          37.4
  60      3.0839e+02     9.3793e-02        -0.55       1.000          38.0
  61      2.3146e+02     9.4212e-02        -0.98       1.000          38.5
  62      1.7372e+02     9.4690e-02        -1.30       1.000          39.0
  63      1.3038e+02     9.5217e-02        -1.51       1.000          39.6
  64      9.7859e+01     9.5706e-02        -1.87       1.000          40.2
  65      7.3447e+01     9.6280e-02        -2.05       1.000          40.9
  66      5.4991e+01     9.6888e-02        -2.18       1.000          42.4
  67      4.0675e+01     9.7526e-02        -2.44       1.000          44.3
  68      2.9692e+01     9.8204e-02        -2.79       1.000          45.8
  69      2.1366e+01     9.8995e-02        -3.22       1.000          47.5
  70      1.5137e+01     9.9965e-02        -3.82       1.000          49.5
  71      1.0545e+01     1.0118e-01        -4.67       1.000          51.8
  72      7.2118e+00     1.0291e-01        -6.04       1.000          54.7
  73      4.8357e+00     1.0578e-01        -7.23       1.000          58.2
  74      3.1743e+00     1.1015e-01        -8.89       1.000          62.9
  75      2.0373e+00     1.1698e-01       -10.06       1.000          69.1
  76      1.2772e+00     1.2585e-01       -10.52       1.000          78.8
  77      7.8169e-01     1.3524e-01        -9.45       1.000          91.9
  78      4.6733e-01     1.4315e-01        -7.69       1.000         111.7
  79      2.7337e-01     1.4845e-01        -5.92       1.000         138.2
  80      1.5697e-01     1.5173e-01        -4.69       1.000         177.1
  81      8.8914e-02     1.5455e-01        -3.96       1.000         228.6
  82      5.0000e-02     1.5747e-01        -4.04       1.000         293.0

