File.......:  varta nimh 3 at 1.267v 100% discharged - MAR,22.2018

System.....:  Varta NiMH 3 at 1.267v
Potential..:  1.271V
Current....:  -16.813mA
Temperature:  -0.6 +-0.0 C
Time.......:  09:13:22 - 09:18:38
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   82
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2949e+03     9.3404e-02         3.72       1.000           0.0
   2      1.7253e+03     9.3388e-02         5.36       1.000           2.7
   3      2.2987e+03     9.3587e-02         7.48       1.000           3.3
   4      3.0627e+03     9.4202e-02        10.27       1.000           3.8
   5      4.0807e+03     9.5412e-02        13.77       1.000           4.4
   6      5.4370e+03     9.7770e-02        18.27       1.000           5.0
   7      7.2441e+03     1.0192e-01        23.79       1.000           5.5
   8      9.6518e+03     1.0884e-01        30.32       1.000           6.1
   9      1.2860e+04     1.1994e-01        37.48       0.999           6.6
  10      1.7134e+04     1.3704e-01        44.88       0.999           7.2
  11      2.2829e+04     1.6213e-01        51.89       0.999           7.8
  12      3.0417e+04     1.9769e-01        58.09       0.999           8.3
  13      4.0526e+04     2.4581e-01        63.19       1.000           8.8
  14      5.3996e+04     3.1033e-01        67.42       1.000           9.4
  15      7.1943e+04     3.9598e-01        70.74       1.000           9.9
  16      9.5855e+04     5.0809e-01        73.50       0.999          10.5
  17      1.2771e+05     6.5746e-01        75.66       0.999          11.0
  18      1.7016e+05     8.4716e-01        78.33       0.999          12.0
  19      2.2672e+05     1.1026e+00        80.32       0.999          12.8
  20      3.0208e+05     1.4384e+00        81.57       1.000          13.4
  21      4.0248e+05     1.8793e+00        82.63       0.999          13.9
  22      5.3625e+05     2.4888e+00        83.98       0.999          14.7
  23      7.1449e+05     3.3073e+00        84.01       0.999          15.5
  24      9.5196e+05     4.3936e+00        84.74       0.997          16.0
  25      1.2684e+06     5.9413e+00        84.65       0.999          16.5
  26      1.6899e+06     7.3040e+00        88.24       0.993          17.3
  27      2.2516e+06     1.0092e+01        90.53       0.994          18.2
  28      3.0000e+06     1.3606e+01        90.54       0.994          18.7
  29      2.2516e+06     1.0464e+01        89.36       0.994          19.3
  30      1.6899e+06     8.4619e+00        86.37       0.997          20.1
  31      1.2684e+06     5.9479e+00        85.49       0.997          20.9
  32      9.5196e+05     4.3768e+00        85.90       0.998          21.4
  33      7.1449e+05     3.3216e+00        84.30       0.997          21.9
  34      5.3625e+05     2.5116e+00        83.79       0.999          22.4
  35      4.0248e+05     1.8807e+00        83.30       0.999          23.2
  36      3.0208e+05     1.4409e+00        81.64       0.999          24.0
  37      2.2672e+05     1.1060e+00        80.15       0.999          24.6
  38      1.7016e+05     8.4873e-01        78.44       0.999          25.1
  39      1.2771e+05     6.5470e-01        76.34       0.999          25.7
  40      9.5855e+04     5.0809e-01        74.16       0.999          26.2
  41      7.1943e+04     3.9606e-01        71.23       1.000          26.8
  42      5.3996e+04     3.1068e-01        67.41       0.999          27.7
  43      4.0526e+04     2.4581e-01        63.21       1.000          28.6
  44      3.0417e+04     1.9769e-01        58.10       1.000          29.1
  45      2.2829e+04     1.6211e-01        51.89       0.999          29.7
  46      1.7134e+04     1.3699e-01        44.88       0.999          30.2
  47      1.2860e+04     1.1994e-01        37.48       1.000          30.8
  48      9.6518e+03     1.0881e-01        30.32       0.999          31.3
  49      7.2441e+03     1.0190e-01        23.79       1.000          31.9
  50      5.4370e+03     9.7755e-02        18.28       0.999          32.4
  51      4.0807e+03     9.5383e-02        13.78       1.000          33.0
  52      3.0627e+03     9.4186e-02        10.26       1.000          33.6
  53      2.2987e+03     9.3555e-02         7.48       1.000          34.1
  54      1.7253e+03     9.3351e-02         5.36       1.000          34.7
  55      1.2949e+03     9.3369e-02         3.72       1.000          35.2
  56      9.7186e+02     9.3549e-02         2.49       1.000          35.8
  57      7.2942e+02     9.3808e-02         1.52       1.000          36.3
  58      5.4746e+02     9.4111e-02         0.76       1.000          36.9
  59      4.1089e+02     9.4384e-02        -0.10       1.000          37.4
  60      3.0839e+02     9.4811e-02        -0.50       1.000          38.0
  61      2.3146e+02     9.5215e-02        -0.90       1.000          38.5
  62      1.7372e+02     9.5693e-02        -1.20       1.000          39.0
  63      1.3038e+02     9.6193e-02        -1.41       1.000          39.6
  64      9.7859e+01     9.6643e-02        -1.74       1.000          40.2
  65      7.3447e+01     9.7189e-02        -1.90       1.000          40.9
  66      5.4991e+01     9.7748e-02        -2.00       1.000          42.4
  67      4.0675e+01     9.8378e-02        -2.27       1.000          44.3
  68      2.9692e+01     9.9009e-02        -2.58       1.000          45.8
  69      2.1366e+01     9.9795e-02        -3.00       1.000          47.5
  70      1.5137e+01     1.0077e-01        -3.55       1.000          49.5
  71      1.0545e+01     1.0203e-01        -4.32       1.000          51.8
  72      7.2118e+00     1.0374e-01        -5.51       1.000          54.7
  73      4.8357e+00     1.0667e-01        -6.36       1.000          58.2
  74      3.1743e+00     1.1083e-01        -7.51       1.000          62.9
  75      2.0373e+00     1.1669e-01        -7.96       1.000          69.1
  76      1.2772e+00     1.2331e-01        -7.84       1.000          78.8
  77      7.8169e-01     1.2950e-01        -6.70       1.000          91.9
  78      4.6733e-01     1.3428e-01        -5.32       1.000         111.7
  79      2.7337e-01     1.3739e-01        -4.27       1.000         138.2
  80      1.5697e-01     1.3975e-01        -3.50       1.000         177.1
  81      8.8914e-02     1.4180e-01        -3.29       1.000         228.6
  82      5.0000e-02     1.4363e-01        -3.87       1.000         293.0

