File.......:  nimh2-0010-1 - AUG,02.2023

System.....:  NiMH2 2000mAh
Potential..:  1.327V
Current....:  10.003mA
Temperature:  -0.5 +-0.0 C
Time.......:  11:44:00 - 11:49:17
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.4673e-02         7.39       1.000           0.0
   2      1.7128e+03     7.5122e-02        10.00       1.000           1.6
   3      2.2806e+03     7.6112e-02        13.25       1.000           2.5
   4      3.0367e+03     7.7735e-02        17.51       1.000           3.5
   5      4.0433e+03     8.0748e-02        22.48       0.999           4.5
   6      5.3837e+03     8.5739e-02        28.71       1.000           5.5
   7      7.1684e+03     9.3574e-02        35.66       0.999           6.4
   8      9.5446e+03     1.0619e-01        43.18       0.999           7.4
   9      1.2709e+04     1.2457e-01        50.11       0.998           8.4
  10      1.6922e+04     1.4997e-01        56.63       0.998           9.6
  11      2.2531e+04     1.8527e-01        62.24       0.996          10.7
  12      3.0000e+04     2.3295e-01        66.71       0.998          11.7
  13      2.2531e+04     1.8537e-01        62.20       0.997          12.8
  14      1.6922e+04     1.5008e-01        56.60       0.994          13.8
  15      1.2709e+04     1.2465e-01        50.10       1.000          15.0
  16      9.5446e+03     1.0614e-01        43.07       0.999          16.1
  17      7.1684e+03     9.3677e-02        35.73       0.999          17.1
  18      5.3837e+03     8.5696e-02        28.74       1.000          18.0
  19      4.0433e+03     8.0793e-02        22.56       0.999          19.0
  20      3.0367e+03     7.8041e-02        17.59       1.000          20.0
  21      2.2806e+03     7.6161e-02        13.15       1.000          20.9
  22      1.7128e+03     7.5047e-02        10.05       1.000          21.9
  23      1.2864e+03     7.4690e-02         7.38       1.000          22.9
  24      9.6613e+02     7.4384e-02         5.49       1.000          23.8
  25      7.2560e+02     7.4290e-02         3.97       0.999          24.8
  26      5.4495e+02     7.4353e-02         2.78       1.000          25.7
  27      4.0928e+02     7.4513e-02         1.53       0.998          27.4
  28      3.0738e+02     7.4503e-02         1.20       0.999          29.4
  29      2.3085e+02     7.4990e-02         0.58       0.999          30.9
  30      1.7338e+02     7.4613e-02         0.01       0.997          32.3
  31      1.3021e+02     7.5285e-02        -0.42       0.998          33.8
  32      9.7794e+01     7.4701e-02        -0.70       0.998          35.3
  33      7.3447e+01     7.5422e-02        -1.09       0.996          36.9
  34      5.4991e+01     7.5377e-02        -0.86       1.000          38.6
  35      4.0675e+01     7.5904e-02        -1.22       0.999          40.4
  36      2.9692e+01     7.5825e-02        -1.33       0.999          42.3
  37      2.1366e+01     7.6506e-02        -1.71       0.999          44.4
  38      1.5137e+01     7.7144e-02        -1.52       0.999          46.8
  39      1.0545e+01     7.7785e-02        -2.52       0.999          49.5
  40      7.2118e+00     7.8076e-02        -2.64       0.999          52.8
  41      4.8357e+00     7.8706e-02        -3.00       0.999          56.8
  42      3.1743e+00     8.0431e-02        -3.76       0.999          61.8
  43      2.0373e+00     8.1986e-02        -3.96       0.999          68.4
  44      1.2772e+00     8.4678e-02        -4.94       0.998          78.8
  45      7.8169e-01     8.7170e-02        -4.81       0.999          92.2
  46      4.6733e-01     9.0469e-02        -4.26       0.999         112.4
  47      2.7337e-01     9.2416e-02        -3.98       0.998         139.3
  48      1.5697e-01     9.3312e-02        -3.11       0.998         178.6
  49      8.8914e-02     9.4504e-02        -3.73       0.995         230.5
  50      5.0000e-02     9.5990e-02        -3.78       0.997         295.3

