File.......:  nimh4-0100-2 - AUG,07.2023

System.....:  NiMH 4 2000mAh
Potential..:  1.361V
Current....:  99.749mA
Temperature:  -0.6 +-0.1 C
Time.......:  13:09:07 - 13:12:44
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   58
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.1000e+03     6.8593e-02         6.31       1.000           0.0
   2      1.4582e+03     6.8881e-02         8.50       1.000           1.8
   3      1.9329e+03     6.9520e-02        11.32       1.000           2.8
   4      2.5623e+03     7.0635e-02        14.94       0.999           3.8
   5      3.3966e+03     7.2595e-02        19.57       1.000           4.9
   6      4.5025e+03     7.5985e-02        24.99       0.999           5.9
   7      5.9686e+03     8.1519e-02        31.48       0.999           7.0
   8      7.9119e+03     8.9991e-02        38.53       0.999           8.1
   9      1.0488e+04     1.0333e-01        45.63       1.000           9.2
  10      1.3903e+04     1.2237e-01        52.26       1.000          10.2
  11      1.8430e+04     1.4860e-01        58.01       0.998          11.3
  12      2.4431e+04     1.8394e-01        62.97       1.000          12.3
  13      3.2385e+04     2.3055e-01        67.15       0.998          13.5
  14      4.2930e+04     2.9190e-01        70.53       0.999          14.7
  15      5.6908e+04     3.7212e-01        73.49       0.999          15.8
  16      7.5437e+04     4.7477e-01        75.84       0.999          16.8
  17      1.0000e+05     6.1376e-01        77.87       0.999          17.9
  18      7.5437e+04     4.7800e-01        75.98       0.999          18.9
  19      5.6908e+04     3.7176e-01        73.52       1.000          20.0
  20      4.2930e+04     2.9180e-01        70.67       0.998          21.0
  21      3.2385e+04     2.3045e-01        67.18       0.999          22.1
  22      2.4431e+04     1.8388e-01        63.20       0.999          23.2
  23      1.8430e+04     1.4858e-01        58.06       0.999          24.3
  24      1.3903e+04     1.2232e-01        52.25       0.999          25.5
  25      1.0488e+04     1.0331e-01        45.57       0.999          26.6
  26      7.9119e+03     9.0196e-02        38.51       0.999          27.7
  27      5.9686e+03     8.1542e-02        31.47       1.000          28.7
  28      4.5025e+03     7.5911e-02        25.02       1.000          29.8
  29      3.3966e+03     7.2641e-02        19.55       1.000          30.9
  30      2.5623e+03     7.0633e-02        14.97       1.000          31.9
  31      1.9329e+03     6.9414e-02        11.33       1.000          33.0
  32      1.4582e+03     6.8917e-02         8.49       1.000          34.0
  33      1.1000e+03     6.8590e-02         6.36       1.000          35.1
  34      8.2981e+02     6.8477e-02         4.68       1.000          36.1
  35      6.2599e+02     6.8436e-02         3.39       1.000          37.2
  36      4.7223e+02     6.8181e-02         2.21       0.999          39.0
  37      3.5624e+02     6.8590e-02         1.45       0.999          41.0
  38      2.6874e+02     6.8577e-02         0.78       1.000          42.6
  39      2.0273e+02     6.8734e-02         0.31       0.999          44.2
  40      1.5293e+02     6.8931e-02        -0.26       0.999          45.7
  41      1.1537e+02     6.8940e-02        -0.31       0.999          47.3
  42      8.7031e+01     6.9261e-02        -0.73       0.998          49.0
  43      6.5649e+01     6.9484e-02        -0.88       0.999          50.7
  44      4.8890e+01     6.9450e-02        -1.12       1.000          52.6
  45      3.5902e+01     7.0052e-02        -1.21       1.000          54.5
  46      2.5963e+01     7.0261e-02        -1.57       0.999          56.6
  47      1.8462e+01     7.0728e-02        -1.83       0.999          58.9
  48      1.2888e+01     7.1072e-02        -2.25       1.000          61.4
  49      8.8167e+00     7.1833e-02        -2.52       1.000          64.4
  50      5.9005e+00     7.2890e-02        -3.32       1.000          68.0
  51      3.8562e+00     7.3257e-02        -3.87       1.000          72.5
  52      2.4573e+00     7.5684e-02        -4.15       0.999          78.3
  53      1.5252e+00     7.7202e-02        -5.16       0.999          87.5
  54      9.2196e-01     8.0310e-02        -5.03       1.000          98.8
  55      5.4349e-01     8.3069e-02        -4.95       1.000         114.0
  56      3.1344e-01     8.5756e-02        -3.95       1.000         135.4
  57      1.7783e-01     8.7387e-02        -3.53       1.000         166.4
  58      1.0000e-01     8.8826e-02        -3.26       0.999         205.7

