File.......:  nimh3-0100-2 - AUG,02.2023

System.....:  NiMH3 2000mAh
Potential..:  1.360V
Current....:  100.11mA
Temperature:  -0.6 +-0.0 C
Time.......:  13:10:00 - 13:15:18
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.3016e-02         7.62       1.000           0.0
   2      1.7128e+03     7.3607e-02        10.22       1.000           1.6
   3      2.2806e+03     7.4587e-02        13.64       1.000           2.6
   4      3.0367e+03     7.6361e-02        17.92       0.999           3.6
   5      4.0433e+03     7.9410e-02        23.22       0.999           4.6
   6      5.3837e+03     8.4677e-02        29.55       0.999           5.7
   7      7.1684e+03     9.2879e-02        36.57       0.999           6.7
   8      9.5446e+03     1.0610e-01        43.86       0.998           7.8
   9      1.2709e+04     1.2417e-01        50.97       0.999           8.9
  10      1.6922e+04     1.5079e-01        57.17       1.000          10.0
  11      2.2531e+04     1.8682e-01        62.58       0.995          11.1
  12      3.0000e+04     2.3435e-01        66.84       0.998          12.1
  13      2.2531e+04     1.8666e-01        62.51       0.995          13.1
  14      1.6922e+04     1.5082e-01        57.20       1.000          14.2
  15      1.2709e+04     1.2472e-01        51.03       0.999          15.3
  16      9.5446e+03     1.0616e-01        43.99       0.999          16.3
  17      7.1684e+03     9.2825e-02        36.54       0.999          17.4
  18      5.3837e+03     8.4486e-02        29.62       0.999          18.5
  19      4.0433e+03     7.9257e-02        23.30       0.999          19.6
  20      3.0367e+03     7.6456e-02        17.90       1.000          20.6
  21      2.2806e+03     7.4491e-02        13.57       0.999          21.6
  22      1.7128e+03     7.3553e-02        10.29       1.000          22.6
  23      1.2864e+03     7.3053e-02         7.65       1.000          23.6
  24      9.6613e+02     7.2780e-02         5.62       0.999          24.5
  25      7.2560e+02     7.2687e-02         4.14       0.999          25.5
  26      5.4495e+02     7.2686e-02         2.98       1.000          26.5
  27      4.0928e+02     7.2434e-02         1.89       0.999          28.2
  28      3.0738e+02     7.2694e-02         1.19       0.999          30.2
  29      2.3085e+02     7.3013e-02         0.38       0.997          31.7
  30      1.7338e+02     7.3023e-02         0.28       0.999          33.2
  31      1.3021e+02     7.3466e-02         0.11       0.999          34.7
  32      9.7794e+01     7.3398e-02        -0.79       0.999          36.3
  33      7.3447e+01     7.3674e-02        -0.77       0.999          37.9
  34      5.4991e+01     7.4174e-02        -1.03       0.999          39.7
  35      4.0675e+01     7.3741e-02        -1.09       1.000          41.5
  36      2.9692e+01     7.4355e-02        -1.36       0.998          43.5
  37      2.1366e+01     7.4526e-02        -1.52       0.999          45.6
  38      1.5137e+01     7.5607e-02        -1.93       0.998          48.0
  39      1.0545e+01     7.6140e-02        -2.05       0.999          50.8
  40      7.2118e+00     7.6500e-02        -3.10       0.999          54.1
  41      4.8357e+00     7.6770e-02        -3.48       0.999          58.1
  42      3.1743e+00     7.9522e-02        -4.20       0.996          63.2
  43      2.0373e+00     7.9087e-02        -3.44       0.993          69.8
  44      1.2772e+00     8.2674e-02        -4.66       0.999          80.2
  45      7.8169e-01     8.5767e-02        -4.51       1.000          93.7
  46      4.6733e-01     8.8559e-02        -4.55       1.000         113.9
  47      2.7337e-01     9.0759e-02        -3.60       0.999         140.8
  48      1.5697e-01     9.1947e-02        -3.06       0.999         180.2
  49      8.8914e-02     9.3438e-02        -3.23       0.999         232.2
  50      5.0000e-02     9.3652e-02        -3.20       0.997         297.0

