File.......:  nimh3-0010-1 - AUG,02.2023

System.....:  NiMH3 2000mAh
Potential..:  1.327V
Current....:  10.003mA
Temperature:  -0.6 +-0.0 C
Time.......:  12:47:33 - 12:52:50
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.4345e-02         7.57       1.000           0.0
   2      1.7128e+03     7.4928e-02        10.13       1.000           1.6
   3      2.2806e+03     7.5891e-02        13.65       1.000           2.5
   4      3.0367e+03     7.7676e-02        17.85       1.000           3.5
   5      4.0433e+03     8.0738e-02        23.01       0.999           4.5
   6      5.3837e+03     8.5879e-02        29.22       0.999           5.5
   7      7.1684e+03     9.4080e-02        36.14       0.998           6.4
   8      9.5446e+03     1.0702e-01        43.54       0.998           7.4
   9      1.2709e+04     1.2580e-01        50.54       0.999           8.4
  10      1.6922e+04     1.5171e-01        56.84       0.998           9.6
  11      2.2531e+04     1.8732e-01        62.20       0.996          10.7
  12      3.0000e+04     2.3522e-01        66.70       0.996          11.7
  13      2.2531e+04     1.8768e-01        62.12       0.997          12.8
  14      1.6922e+04     1.5173e-01        56.88       0.999          13.8
  15      1.2709e+04     1.2576e-01        50.58       1.000          15.0
  16      9.5446e+03     1.0696e-01        43.61       0.999          16.1
  17      7.1684e+03     9.4055e-02        36.22       0.999          17.1
  18      5.3837e+03     8.5890e-02        29.10       0.999          18.0
  19      4.0433e+03     8.0703e-02        22.92       0.999          19.0
  20      3.0367e+03     7.7720e-02        17.77       1.000          20.0
  21      2.2806e+03     7.5927e-02        13.62       1.000          20.9
  22      1.7128e+03     7.4726e-02        10.12       0.999          21.9
  23      1.2864e+03     7.4355e-02         7.61       0.999          22.9
  24      9.6613e+02     7.4171e-02         5.68       0.999          23.8
  25      7.2560e+02     7.3881e-02         4.08       0.999          24.8
  26      5.4495e+02     7.4019e-02         2.84       1.000          25.7
  27      4.0928e+02     7.4400e-02         1.57       0.998          27.4
  28      3.0738e+02     7.4209e-02         1.18       0.998          29.4
  29      2.3085e+02     7.4766e-02         0.29       0.999          30.9
  30      1.7338e+02     7.4457e-02         0.40       0.999          32.3
  31      1.3021e+02     7.4531e-02        -0.15       0.998          33.8
  32      9.7794e+01     7.4787e-02        -0.71       0.997          35.3
  33      7.3447e+01     7.4710e-02        -0.93       0.999          36.9
  34      5.4991e+01     7.4672e-02        -0.89       0.999          38.6
  35      4.0675e+01     7.5475e-02        -0.90       0.999          40.4
  36      2.9692e+01     7.5558e-02        -1.42       0.997          42.3
  37      2.1366e+01     7.6054e-02        -1.09       0.999          44.4
  38      1.5137e+01     7.6217e-02        -1.92       0.999          46.8
  39      1.0545e+01     7.7323e-02        -2.13       0.999          49.5
  40      7.2118e+00     7.7571e-02        -3.05       0.999          52.8
  41      4.8357e+00     7.8883e-02        -3.24       0.999          56.8
  42      3.1743e+00     7.9703e-02        -3.68       0.999          61.8
  43      2.0373e+00     8.1811e-02        -3.96       0.998          68.4
  44      1.2772e+00     8.4009e-02        -4.83       0.998          78.8
  45      7.8169e-01     8.6614e-02        -4.71       0.999          92.2
  46      4.6733e-01     8.9373e-02        -4.33       1.000         112.4
  47      2.7337e-01     9.1137e-02        -3.57       0.999         139.3
  48      1.5697e-01     9.3331e-02        -3.04       0.998         178.6
  49      8.8914e-02     9.4343e-02        -3.55       0.997         230.5
  50      5.0000e-02     9.5077e-02        -3.89       0.997         295.3

