File.......:  nimh2-0100-1 - AUG,02.2023

System.....:  NiMH2 2000mAh
Potential..:  1.342V
Current....:  99.732mA
Temperature:  -0.5 +-0.0 C
Time.......:  12:09:14 - 12:14:35
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.3060e-02         7.51       1.000           0.0
   2      1.7128e+03     7.3560e-02        10.06       1.000           1.7
   3      2.2806e+03     7.4519e-02        13.42       1.000           2.8
   4      3.0367e+03     7.6226e-02        17.68       1.000           3.8
   5      4.0433e+03     7.9175e-02        22.95       1.000           4.9
   6      5.3837e+03     8.4162e-02        29.17       1.000           6.0
   7      7.1684e+03     9.2305e-02        36.22       1.000           7.0
   8      9.5446e+03     1.0473e-01        43.54       0.998           8.1
   9      1.2709e+04     1.2318e-01        50.53       0.999           9.1
  10      1.6922e+04     1.4921e-01        56.88       0.999          10.2
  11      2.2531e+04     1.8472e-01        62.18       0.999          11.3
  12      3.0000e+04     2.3232e-01        66.85       0.999          12.5
  13      2.2531e+04     1.8451e-01        62.38       0.999          13.6
  14      1.6922e+04     1.4926e-01        56.82       0.999          14.8
  15      1.2709e+04     1.2312e-01        50.55       1.000          16.0
  16      9.5446e+03     1.0483e-01        43.50       0.999          17.1
  17      7.1684e+03     9.2311e-02        36.22       0.999          18.1
  18      5.3837e+03     8.4178e-02        29.19       0.999          19.2
  19      4.0433e+03     7.9174e-02        22.89       1.000          20.3
  20      3.0367e+03     7.6241e-02        17.67       1.000          21.3
  21      2.2806e+03     7.4491e-02        13.42       1.000          22.4
  22      1.7128e+03     7.3576e-02        10.07       1.000          23.5
  23      1.2864e+03     7.3073e-02         7.53       1.000          24.5
  24      9.6613e+02     7.2809e-02         5.56       1.000          25.5
  25      7.2560e+02     7.2690e-02         4.06       1.000          26.6
  26      5.4495e+02     7.2719e-02         2.90       1.000          27.7
  27      4.0928e+02     7.2789e-02         1.79       1.000          29.5
  28      3.0738e+02     7.2757e-02         1.07       1.000          31.5
  29      2.3085e+02     7.2906e-02         0.62       1.000          33.1
  30      1.7338e+02     7.3206e-02         0.13       0.999          34.6
  31      1.3021e+02     7.3392e-02        -0.17       0.999          36.2
  32      9.7794e+01     7.3403e-02        -0.47       1.000          37.9
  33      7.3447e+01     7.3488e-02        -0.70       1.000          39.6
  34      5.4991e+01     7.3970e-02        -0.73       1.000          41.3
  35      4.0675e+01     7.4215e-02        -1.30       0.999          43.2
  36      2.9692e+01     7.4264e-02        -1.17       1.000          45.3
  37      2.1366e+01     7.4898e-02        -1.63       1.000          47.5
  38      1.5137e+01     7.5328e-02        -2.13       1.000          50.0
  39      1.0545e+01     7.5578e-02        -2.32       0.999          52.8
  40      7.2118e+00     7.5989e-02        -2.73       0.999          56.2
  41      4.8357e+00     7.7080e-02        -2.88       0.999          60.2
  42      3.1743e+00     7.8511e-02        -4.35       0.998          65.4
  43      2.0373e+00     8.0831e-02        -3.50       0.997          72.1
  44      1.2772e+00     8.2807e-02        -4.92       1.000          82.6
  45      7.8169e-01     8.5671e-02        -4.94       1.000          96.2
  46      4.6733e-01     8.8649e-02        -4.52       0.999         116.4
  47      2.7337e-01     9.0633e-02        -3.71       0.999         143.4
  48      1.5697e-01     9.2319e-02        -3.29       1.000         182.8
  49      8.8914e-02     9.3357e-02        -3.09       0.999         234.9
  50      5.0000e-02     9.5415e-02        -3.37       1.000         299.8

