File.......:  nimh2-0500-2 - AUG,24.2023

System.....:  NiMH 2 2000mAh
Potential..:  1.197V
Current....:  -503.76mA
Temperature:  -0.7 +-0.0 C
Time.......:  11:46:11 - 11:52:36
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.5929e-02         6.78       1.000           0.0
   2      1.7128e+03     7.6339e-02         9.13       1.000           2.1
   3      2.2806e+03     7.7110e-02        12.17       1.000           3.3
   4      3.0367e+03     7.8572e-02        16.13       1.000           4.4
   5      4.0433e+03     8.1109e-02        21.06       0.999           5.6
   6      5.3837e+03     8.5487e-02        26.98       1.000           6.7
   7      7.1684e+03     9.2620e-02        33.72       1.000           7.9
   8      9.5446e+03     1.0410e-01        41.11       0.999           9.2
   9      1.2709e+04     1.2081e-01        48.35       0.999          10.5
  10      1.6922e+04     1.4491e-01        55.03       1.000          11.6
  11      2.2531e+04     1.7828e-01        60.69       0.998          12.8
  12      3.0000e+04     2.2306e-01        65.41       0.999          13.9
  13      2.2531e+04     1.7815e-01        60.73       1.000          15.0
  14      1.6922e+04     1.4496e-01        55.07       0.999          16.2
  15      1.2709e+04     1.2090e-01        48.37       0.998          17.3
  16      9.5446e+03     1.0393e-01        41.17       1.000          18.5
  17      7.1684e+03     9.2843e-02        33.82       1.000          19.6
  18      5.3837e+03     8.5693e-02        26.99       1.000          20.7
  19      4.0433e+03     8.1047e-02        21.01       0.999          22.5
  20      3.0367e+03     7.8565e-02        16.12       1.000          24.1
  21      2.2806e+03     7.7127e-02        12.18       1.000          25.3
  22      1.7128e+03     7.6339e-02         9.13       1.000          26.4
  23      1.2864e+03     7.5966e-02         6.77       1.000          27.6
  24      9.6613e+02     7.5770e-02         5.01       1.000          28.7
  25      7.2560e+02     7.5696e-02         3.64       1.000          29.8
  26      5.4495e+02     7.5744e-02         2.60       1.000          31.0
  27      4.0928e+02     7.5768e-02         1.54       1.000          33.7
  28      3.0738e+02     7.5911e-02         0.99       1.000          36.7
  29      2.3085e+02     7.5906e-02         0.52       1.000          38.4
  30      1.7338e+02     7.6073e-02         0.20       1.000          40.0
  31      1.3021e+02     7.6260e-02        -0.01       1.000          41.7
  32      9.7794e+01     7.6427e-02        -0.39       1.000          43.4
  33      7.3447e+01     7.6510e-02        -0.51       1.000          46.1
  34      5.4991e+01     7.6637e-02        -0.55       1.000          48.9
  35      4.0675e+01     7.6859e-02        -0.66       1.000          50.8
  36      2.9692e+01     7.7092e-02        -0.85       1.000          53.0
  37      2.1366e+01     7.7373e-02        -1.04       1.000          56.2
  38      1.5137e+01     7.7862e-02        -1.17       1.000          59.7
  39      1.0545e+01     7.8185e-02        -1.27       1.000          62.6
  40      7.2118e+00     7.8602e-02        -1.65       1.000          66.1
  41      4.8357e+00     7.9201e-02        -1.45       1.000          71.5
  42      3.1743e+00     8.0109e-02        -1.61       1.000          77.9
  43      2.0373e+00     8.0339e-02        -1.37       0.999          86.4
  44      1.2772e+00     8.1316e-02        -1.30       1.000         103.1
  45      7.8169e-01     8.1692e-02        -1.12       1.000         123.4
  46      4.6733e-01     8.2263e-02        -1.27       1.000         154.4
  47      2.7337e-01     8.2685e-02        -1.31       1.000         195.2
  48      1.5697e-01     8.3147e-02        -1.58       1.000         246.7
  49      8.8914e-02     8.4118e-02        -1.69       0.999         298.8
  50      5.0000e-02     8.5020e-02        -2.46       1.000         363.8

