File.......:  nimh2-2000-1 - AUG,24.2023

System.....:  NiMH 2 2000mAh
Potential..:  1.105V
Current....:  -2.0044A
Temperature:  -0.6 +-0.0 C
Time.......:  10:50:03 - 10:56:40
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.6988e-02         6.76       1.000           0.0
   2      1.7128e+03     7.7424e-02         9.09       1.000           1.7
   3      2.2806e+03     7.8233e-02        12.11       1.000           2.7
   4      3.0367e+03     7.9713e-02        16.00       1.000           3.7
   5      4.0433e+03     8.2273e-02        20.83       0.999           4.7
   6      5.3837e+03     8.6649e-02        26.69       1.000           5.8
   7      7.1684e+03     9.3726e-02        33.43       1.000           6.8
   8      9.5446e+03     1.0487e-01        40.72       0.999           7.9
   9      1.2709e+04     1.2160e-01        47.89       1.000           9.0
  10      1.6922e+04     1.4560e-01        54.53       1.000          10.0
  11      2.2531e+04     1.7896e-01        60.30       0.998          11.1
  12      3.0000e+04     2.2382e-01        65.09       1.000          12.1
  13      2.2531e+04     1.7895e-01        60.28       0.999          13.1
  14      1.6922e+04     1.4565e-01        54.53       1.000          14.1
  15      1.2709e+04     1.2160e-01        47.89       1.000          15.1
  16      9.5446e+03     1.0486e-01        40.67       0.999          16.1
  17      7.1684e+03     9.3741e-02        33.44       0.999          17.3
  18      5.3837e+03     8.6613e-02        26.69       1.000          18.4
  19      4.0433e+03     8.2271e-02        20.83       0.999          19.4
  20      3.0367e+03     7.9714e-02        16.00       1.000          20.5
  21      2.2806e+03     7.8237e-02        12.11       1.000          21.5
  22      1.7128e+03     7.7425e-02         9.10       1.000          22.5
  23      1.2864e+03     7.6991e-02         6.76       1.000          23.5
  24      9.6613e+02     7.6797e-02         5.02       1.000          24.5
  25      7.2560e+02     7.6718e-02         3.67       1.000          25.5
  26      5.4495e+02     7.6708e-02         2.63       1.000          26.5
  27      4.0928e+02     7.6683e-02         1.54       1.000          28.3
  28      3.0738e+02     7.6786e-02         1.00       1.000          30.3
  29      2.3085e+02     7.6862e-02         0.52       1.000          31.8
  30      1.7338e+02     7.6980e-02         0.18       1.000          33.3
  31      1.3021e+02     7.7134e-02        -0.07       1.000          34.9
  32      9.7794e+01     7.7194e-02        -0.42       1.000          36.5
  33      7.3447e+01     7.7442e-02        -0.59       1.000          38.1
  34      5.4991e+01     7.7633e-02        -0.69       1.000          39.9
  35      4.0675e+01     7.7871e-02        -0.88       1.000          41.7
  36      2.9692e+01     7.8125e-02        -1.07       1.000          43.7
  37      2.1366e+01     7.8433e-02        -1.27       1.000          45.9
  38      1.5137e+01     7.8902e-02        -1.49       1.000          48.4
  39      1.0545e+01     7.9342e-02        -1.70       1.000          51.1
  40      7.2118e+00     7.9939e-02        -2.14       1.000          54.5
  41      4.8357e+00     8.0849e-02        -2.16       1.000          58.5
  42      3.1743e+00     8.1607e-02        -2.35       1.000          63.6
  43      2.0373e+00     8.2994e-02        -2.55       1.000          70.3
  44      1.2772e+00     8.4187e-02        -2.41       1.000          80.7
  45      7.8169e-01     8.5257e-02        -2.00       1.000          94.2
  46      4.6733e-01     8.5923e-02        -1.75       1.000         114.5
  47      2.7337e-01     8.6344e-02        -1.49       1.000         141.4
  48      1.5697e-01     8.6324e-02        -1.46       1.000         204.4
  49      8.8914e-02     8.6502e-02        -1.52       1.000         256.4
  50      5.0000e-02     8.6372e-02        -1.73       1.000         375.8

