File.......:  nimh1-2000-1 - AUG,18.2023

System.....:  NiMH 1 2000mAh
Potential..:  1.160V
Current....:  -2.0052A
Temperature:  -0.6 +-0.0 C
Time.......:  12:35:04 - 12:42:38
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.7125e-02         6.82       1.000           0.0
   2      1.7128e+03     7.7607e-02         9.17       1.000           1.7
   3      2.2806e+03     7.8472e-02        12.21       1.000           2.7
   4      3.0367e+03     8.0033e-02        16.13       1.000           3.7
   5      4.0433e+03     8.2709e-02        20.98       1.000           4.7
   6      5.3837e+03     8.7208e-02        26.83       0.999           5.8
   7      7.1684e+03     9.4485e-02        33.53       0.999           6.8
   8      9.5446e+03     1.0583e-01        40.69       0.999           7.9
   9      1.2709e+04     1.2288e-01        47.76       0.999           9.0
  10      1.6922e+04     1.4703e-01        54.25       0.999          10.0
  11      2.2531e+04     1.8034e-01        59.87       0.998          11.1
  12      3.0000e+04     2.2504e-01        64.58       0.999          12.1
  13      2.2531e+04     1.8034e-01        59.86       0.999          13.1
  14      1.6922e+04     1.4714e-01        54.24       0.999          14.1
  15      1.2709e+04     1.2287e-01        47.75       0.999          15.1
  16      9.5446e+03     1.0597e-01        40.67       1.000          16.1
  17      7.1684e+03     9.4634e-02        33.49       0.999          17.3
  18      5.3837e+03     8.7346e-02        26.79       0.999          18.4
  19      4.0433e+03     8.2882e-02        20.91       0.999          19.4
  20      3.0367e+03     8.0263e-02        16.09       0.999          20.5
  21      2.2806e+03     7.8739e-02        12.18       1.000          21.5
  22      1.7128e+03     7.7912e-02         9.15       1.000          22.5
  23      1.2864e+03     7.7470e-02         6.79       1.000          23.5
  24      9.6613e+02     7.7277e-02         5.04       1.000          24.5
  25      7.2560e+02     7.7203e-02         3.68       1.000          25.5
  26      5.4495e+02     7.7200e-02         2.63       1.000          26.5
  27      4.0928e+02     7.7201e-02         1.53       1.000          28.3
  28      3.0738e+02     7.7318e-02         0.97       1.000          30.3
  29      2.3085e+02     7.7412e-02         0.50       1.000          31.8
  30      1.7338e+02     7.7531e-02         0.13       1.000          33.3
  31      1.3021e+02     7.7696e-02        -0.12       1.000          34.9
  32      9.7794e+01     7.7772e-02        -0.47       1.000          36.5
  33      7.3447e+01     7.8065e-02        -0.63       1.000          38.1
  34      5.4991e+01     7.8272e-02        -0.73       1.000          39.9
  35      4.0675e+01     7.8520e-02        -0.90       1.000          41.7
  36      2.9692e+01     7.8828e-02        -1.15       1.000          43.7
  37      2.1366e+01     7.9073e-02        -1.33       1.000          45.9
  38      1.5137e+01     7.9678e-02        -1.58       1.000          48.4
  39      1.0545e+01     8.0014e-02        -1.76       1.000          51.1
  40      7.2118e+00     8.0732e-02        -2.20       1.000          54.5
  41      4.8357e+00     8.1866e-02        -2.39       1.000          58.5
  42      3.1743e+00     8.2310e-02        -2.54       1.000          63.6
  43      2.0373e+00     8.4114e-02        -3.21       0.999          70.3
  44      1.2772e+00     8.5574e-02        -2.99       1.000          80.7
  45      7.8169e-01     8.7064e-02        -2.60       1.000         100.6
  46      4.6733e-01     8.8145e-02        -2.24       1.000         120.8
  47      2.7337e-01     8.8611e-02        -1.86       1.000         161.3
  48      1.5697e-01     8.8678e-02        -1.72       1.000         224.2
  49      8.8914e-02     8.8513e-02        -1.74       1.000         313.4
  50      5.0000e-02     8.8450e-02        -1.87       1.000         432.8

