File.......:  nimh3-0200-2 - AUG,24.2023

System.....:  NiMH 3 2000mAh
Potential..:  1.226V
Current....:  -200.52mA
Temperature:  -0.7 +-0.0 C
Time.......:  14:00:24 - 14:05:43
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     8.3336e-02         6.26       1.000           0.0
   2      1.7128e+03     8.3735e-02         8.43       1.000           1.7
   3      2.2806e+03     8.4454e-02        11.25       1.000           2.7
   4      3.0367e+03     8.5836e-02        14.93       1.000           3.7
   5      4.0433e+03     8.8275e-02        19.48       1.000           4.7
   6      5.3837e+03     9.2424e-02        25.07       0.999           5.8
   7      7.1684e+03     9.9319e-02        31.64       0.999           6.8
   8      9.5446e+03     1.1019e-01        38.79       0.999           7.8
   9      1.2709e+04     1.2668e-01        45.96       0.999           8.8
  10      1.6922e+04     1.5049e-01        52.67       1.000           9.8
  11      2.2531e+04     1.8342e-01        58.60       0.999          10.8
  12      3.0000e+04     2.2802e-01        63.77       0.999          12.0
  13      2.2531e+04     1.8345e-01        58.71       0.999          13.1
  14      1.6922e+04     1.5045e-01        52.69       0.999          14.2
  15      1.2709e+04     1.2668e-01        45.96       0.999          15.4
  16      9.5446e+03     1.1017e-01        38.76       0.999          16.4
  17      7.1684e+03     9.9278e-02        31.62       1.000          17.4
  18      5.3837e+03     9.2386e-02        25.07       1.000          18.4
  19      4.0433e+03     8.8260e-02        19.49       1.000          19.4
  20      3.0367e+03     8.5814e-02        14.91       1.000          20.5
  21      2.2806e+03     8.4470e-02        11.27       1.000          21.5
  22      1.7128e+03     8.3695e-02         8.42       1.000          22.5
  23      1.2864e+03     8.3311e-02         6.25       1.000          23.5
  24      9.6613e+02     8.3162e-02         4.64       1.000          24.5
  25      7.2560e+02     8.3140e-02         3.38       1.000          25.5
  26      5.4495e+02     8.3152e-02         2.42       1.000          26.5
  27      4.0928e+02     8.3223e-02         1.41       1.000          28.3
  28      3.0738e+02     8.3303e-02         0.94       1.000          30.3
  29      2.3085e+02     8.3377e-02         0.51       1.000          31.8
  30      1.7338e+02     8.3576e-02         0.14       1.000          33.3
  31      1.3021e+02     8.3685e-02        -0.04       1.000          34.9
  32      9.7794e+01     8.3899e-02        -0.38       0.999          36.5
  33      7.3447e+01     8.3988e-02        -0.43       1.000          38.1
  34      5.4991e+01     8.4094e-02        -0.55       1.000          39.9
  35      4.0675e+01     8.4344e-02        -0.74       1.000          41.7
  36      2.9692e+01     8.4538e-02        -0.85       1.000          43.7
  37      2.1366e+01     8.4754e-02        -0.87       1.000          45.9
  38      1.5137e+01     8.5224e-02        -1.06       1.000          48.4
  39      1.0545e+01     8.5525e-02        -1.24       1.000          51.1
  40      7.2118e+00     8.6028e-02        -1.55       1.000          54.5
  41      4.8357e+00     8.6663e-02        -1.41       1.000          58.5
  42      3.1743e+00     8.7397e-02        -1.45       1.000          63.6
  43      2.0373e+00     8.8149e-02        -1.30       1.000          70.3
  44      1.2772e+00     8.8811e-02        -1.23       1.000          80.7
  45      7.8169e-01     8.9183e-02        -1.05       1.000          94.2
  46      4.6733e-01     8.9606e-02        -1.12       1.000         114.5
  47      2.7337e-01     9.0241e-02        -1.29       1.000         141.4
  48      1.5697e-01     9.0705e-02        -1.46       1.000         180.8
  49      8.8914e-02     9.1381e-02        -1.91       1.000         232.8
  50      5.0000e-02     9.2566e-02        -2.25       1.000         297.6

