File.......:  nimh2-0200-1 - AUG,24.2023

System.....:  NiMH 2 2000mAh
Potential..:  1.224V
Current....:  -200.49mA
Temperature:  -0.7 +-0.0 C
Time.......:  11:55:02 - 12:00:21
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.5945e-02         6.76       1.000           0.0
   2      1.7128e+03     7.6335e-02         9.14       1.000           1.7
   3      2.2806e+03     7.7125e-02        12.18       1.000           2.7
   4      3.0367e+03     7.8576e-02        16.15       1.000           3.7
   5      4.0433e+03     8.1134e-02        21.02       1.000           4.7
   6      5.3837e+03     8.5479e-02        26.98       0.999           5.8
   7      7.1684e+03     9.2662e-02        33.81       1.000           6.8
   8      9.5446e+03     1.0397e-01        41.14       1.000           7.8
   9      1.2709e+04     1.2070e-01        48.34       1.000           8.8
  10      1.6922e+04     1.4491e-01        54.94       1.000           9.8
  11      2.2531e+04     1.7829e-01        60.64       1.000          10.8
  12      3.0000e+04     2.2327e-01        65.57       1.000          12.0
  13      2.2531e+04     1.7816e-01        60.64       1.000          13.2
  14      1.6922e+04     1.4495e-01        54.94       0.999          14.3
  15      1.2709e+04     1.2072e-01        48.32       1.000          15.4
  16      9.5446e+03     1.0392e-01        41.11       0.999          16.4
  17      7.1684e+03     9.2633e-02        33.82       0.999          17.4
  18      5.3837e+03     8.5506e-02        26.98       0.999          18.4
  19      4.0433e+03     8.1129e-02        21.04       1.000          19.4
  20      3.0367e+03     7.8599e-02        16.14       1.000          20.5
  21      2.2806e+03     7.7129e-02        12.20       1.000          21.5
  22      1.7128e+03     7.6339e-02         9.14       1.000          22.5
  23      1.2864e+03     7.5958e-02         6.76       1.000          23.5
  24      9.6613e+02     7.5765e-02         5.04       1.000          24.5
  25      7.2560e+02     7.5729e-02         3.65       1.000          25.5
  26      5.4495e+02     7.5728e-02         2.61       1.000          26.5
  27      4.0928e+02     7.5756e-02         1.52       0.999          28.3
  28      3.0738e+02     7.5895e-02         1.02       1.000          30.3
  29      2.3085e+02     7.5981e-02         0.57       1.000          31.8
  30      1.7338e+02     7.6063e-02         0.16       1.000          33.3
  31      1.3021e+02     7.6219e-02        -0.03       1.000          34.9
  32      9.7794e+01     7.6237e-02        -0.25       0.999          36.5
  33      7.3447e+01     7.6566e-02        -0.50       0.999          38.1
  34      5.4991e+01     7.6632e-02        -0.53       1.000          39.9
  35      4.0675e+01     7.6872e-02        -0.70       1.000          41.7
  36      2.9692e+01     7.7085e-02        -0.82       1.000          43.7
  37      2.1366e+01     7.7386e-02        -1.09       1.000          45.9
  38      1.5137e+01     7.7769e-02        -1.15       1.000          48.4
  39      1.0545e+01     7.8266e-02        -1.34       0.999          51.1
  40      7.2118e+00     7.8639e-02        -1.72       1.000          54.5
  41      4.8357e+00     7.9296e-02        -1.55       1.000          58.5
  42      3.1743e+00     8.0095e-02        -1.56       1.000          63.6
  43      2.0373e+00     8.0747e-02        -1.28       1.000          70.3
  44      1.2772e+00     8.1339e-02        -1.40       1.000          80.7
  45      7.8169e-01     8.1821e-02        -1.15       1.000          94.2
  46      4.6733e-01     8.2239e-02        -1.19       1.000         114.5
  47      2.7337e-01     8.2695e-02        -1.39       1.000         141.4
  48      1.5697e-01     8.3330e-02        -1.49       1.000         180.8
  49      8.8914e-02     8.4202e-02        -1.94       0.999         232.8
  50      5.0000e-02     8.5114e-02        -2.34       1.000         297.6

