File.......:  nimh1-0100-1 - AUG,18.2023

System.....:  NiMH 1 2000mAh
Potential..:  1.264V
Current....:  -100.4mA
Temperature:  -0.7 +-0.0 C
Time.......:  13:55:03 - 14:00:24
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     7.7542e-02         6.72       1.000           0.0
   2      1.7128e+03     7.7966e-02         9.04       1.000           1.7
   3      2.2806e+03     7.8750e-02        12.05       1.000           2.8
   4      3.0367e+03     8.0195e-02        15.99       1.000           3.8
   5      4.0433e+03     8.2830e-02        20.78       0.999           4.9
   6      5.3837e+03     8.7186e-02        26.68       1.000           6.0
   7      7.1684e+03     9.4431e-02        33.38       1.000           7.0
   8      9.5446e+03     1.0576e-01        40.60       1.000           8.1
   9      1.2709e+04     1.2286e-01        47.68       0.999           9.1
  10      1.6922e+04     1.4680e-01        54.22       1.000          10.2
  11      2.2531e+04     1.8005e-01        59.71       0.999          11.3
  12      3.0000e+04     2.2462e-01        64.83       0.999          12.5
  13      2.2531e+04     1.7998e-01        60.03       1.000          13.6
  14      1.6922e+04     1.4678e-01        54.15       0.999          14.8
  15      1.2709e+04     1.2276e-01        47.67       1.000          16.0
  16      9.5446e+03     1.0572e-01        40.60       1.000          17.1
  17      7.1684e+03     9.4482e-02        33.35       0.999          18.1
  18      5.3837e+03     8.7222e-02        26.66       0.999          19.2
  19      4.0433e+03     8.2819e-02        20.75       1.000          20.3
  20      3.0367e+03     8.0238e-02        15.99       1.000          21.3
  21      2.2806e+03     7.8726e-02        12.07       1.000          22.4
  22      1.7128e+03     7.7964e-02         9.03       1.000          23.5
  23      1.2864e+03     7.7494e-02         6.67       1.000          24.5
  24      9.6613e+02     7.7304e-02         4.99       1.000          25.5
  25      7.2560e+02     7.7298e-02         3.62       1.000          26.6
  26      5.4495e+02     7.7287e-02         2.57       1.000          27.7
  27      4.0928e+02     7.7310e-02         1.43       1.000          29.5
  28      3.0738e+02     7.7280e-02         1.15       1.000          31.5
  29      2.3085e+02     7.7500e-02         0.48       0.999          33.1
  30      1.7338e+02     7.7610e-02         0.24       1.000          34.6
  31      1.3021e+02     7.7830e-02         0.03       1.000          36.2
  32      9.7794e+01     7.8046e-02        -0.22       0.999          37.9
  33      7.3447e+01     7.8133e-02        -0.55       0.999          39.6
  34      5.4991e+01     7.8268e-02        -0.47       0.999          41.3
  35      4.0675e+01     7.8494e-02        -0.68       1.000          43.2
  36      2.9692e+01     7.8650e-02        -0.88       1.000          45.3
  37      2.1366e+01     7.8979e-02        -1.01       1.000          47.5
  38      1.5137e+01     7.9572e-02        -1.16       1.000          50.0
  39      1.0545e+01     7.9888e-02        -1.45       1.000          52.8
  40      7.2118e+00     8.0392e-02        -1.83       0.999          56.2
  41      4.8357e+00     8.1126e-02        -1.78       1.000          60.2
  42      3.1743e+00     8.1981e-02        -2.02       1.000          65.4
  43      2.0373e+00     8.2997e-02        -1.62       1.000          72.1
  44      1.2772e+00     8.3751e-02        -1.76       1.000          82.6
  45      7.8169e-01     8.4353e-02        -1.39       1.000          96.2
  46      4.6733e-01     8.4853e-02        -1.39       1.000         116.4
  47      2.7337e-01     8.5433e-02        -1.40       1.000         143.4
  48      1.5697e-01     8.5892e-02        -1.57       1.000         182.8
  49      8.8914e-02     8.7119e-02        -1.77       1.000         234.9
  50      5.0000e-02     8.7495e-02        -2.12       0.999         299.8

