File.......:  nimh3-0100-2 - AUG,24.2023

System.....:  NiMH 3 2000mAh
Potential..:  1.236V
Current....:  -100.4mA
Temperature:  -0.7 +-0.0 C
Time.......:  14:20:21 - 14:25:43
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   50
Columns: 5

Number   Frequency/Hz   impedance/Ohm   Phase/deg   Significance   Time/s 
   1      1.2864e+03     8.3183e-02         6.28       1.000           0.0
   2      1.7128e+03     8.3552e-02         8.45       1.000           1.7
   3      2.2806e+03     8.4314e-02        11.25       1.000           2.8
   4      3.0367e+03     8.5642e-02        14.95       1.000           3.8
   5      4.0433e+03     8.8013e-02        19.52       1.000           4.9
   6      5.3837e+03     9.2233e-02        25.12       1.000           6.0
   7      7.1684e+03     9.9216e-02        31.63       0.999           7.0
   8      9.5446e+03     1.1015e-01        38.78       1.000           8.1
   9      1.2709e+04     1.2653e-01        45.95       1.000           9.1
  10      1.6922e+04     1.5052e-01        52.57       1.000          10.2
  11      2.2531e+04     1.8343e-01        58.53       0.999          11.3
  12      3.0000e+04     2.2773e-01        63.79       0.999          12.5
  13      2.2531e+04     1.8332e-01        58.76       1.000          13.6
  14      1.6922e+04     1.5021e-01        52.67       0.998          14.8
  15      1.2709e+04     1.2668e-01        45.92       0.999          16.0
  16      9.5446e+03     1.1005e-01        38.74       0.999          17.1
  17      7.1684e+03     9.9186e-02        31.62       1.000          18.1
  18      5.3837e+03     9.2216e-02        25.12       0.999          19.2
  19      4.0433e+03     8.8151e-02        19.48       1.000          20.3
  20      3.0367e+03     8.5650e-02        14.94       1.000          21.3
  21      2.2806e+03     8.4317e-02        11.27       1.000          22.4
  22      1.7128e+03     8.3536e-02         8.45       1.000          23.5
  23      1.2864e+03     8.3140e-02         6.29       1.000          24.5
  24      9.6613e+02     8.3003e-02         4.58       1.000          25.5
  25      7.2560e+02     8.2972e-02         3.43       1.000          26.6
  26      5.4495e+02     8.2947e-02         2.44       1.000          27.7
  27      4.0928e+02     8.2970e-02         1.42       0.999          29.5
  28      3.0738e+02     8.3246e-02         0.88       1.000          31.5
  29      2.3085e+02     8.3472e-02         0.51       0.999          33.1
  30      1.7338e+02     8.3187e-02         0.07       1.000          34.6
  31      1.3021e+02     8.3333e-02        -0.04       1.000          36.2
  32      9.7794e+01     8.3561e-02        -0.37       0.999          37.9
  33      7.3447e+01     8.3777e-02        -0.51       0.999          39.6
  34      5.4991e+01     8.4183e-02        -0.64       0.999          41.4
  35      4.0675e+01     8.4119e-02        -0.75       1.000          43.2
  36      2.9692e+01     8.4338e-02        -0.72       1.000          45.3
  37      2.1366e+01     8.4578e-02        -1.00       1.000          47.5
  38      1.5137e+01     8.4854e-02        -1.02       1.000          50.0
  39      1.0545e+01     8.5450e-02        -1.23       1.000          52.8
  40      7.2118e+00     8.5986e-02        -1.61       1.000          56.2
  41      4.8357e+00     8.6624e-02        -1.45       1.000          60.2
  42      3.1743e+00     8.7239e-02        -1.45       1.000          65.4
  43      2.0373e+00     8.8092e-02        -1.43       1.000          72.1
  44      1.2772e+00     8.8658e-02        -1.27       1.000          82.6
  45      7.8169e-01     8.9312e-02        -1.11       1.000          96.2
  46      4.6733e-01     8.9594e-02        -1.28       1.000         116.4
  47      2.7337e-01     9.0222e-02        -1.42       0.999         143.4
  48      1.5697e-01     9.0630e-02        -1.61       1.000         182.8
  49      8.8914e-02     9.1814e-02        -1.84       0.999         234.9
  50      5.0000e-02     9.2908e-02        -2.01       0.999         299.8

